,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Domantas Sabonis,SAC,68,3.8,21.9,1.33,5.0,1.9,2.8,68.9,68.9,20.9,9.3,20.2,3.9,67.8,54.9
1,Jarrett Allen,CLE,62,4.0,33.0,1.38,5.5,2.4,3.3,70.9,70.9,14.9,4.8,14.9,3.6,69.0,65.6
2,Evan Mobley,CLE,71,3.2,20.1,1.46,4.6,2.0,2.8,72.6,72.6,14.7,2.7,14.7,5.8,72.3,82.7
3,Nic Claxton,BKN,66,3.2,31.2,1.36,4.4,2.0,2.8,72.0,72.0,14.6,4.7,14.6,4.7,69.5,60.9
4,Rudy Gobert,MIN,60,3.4,28.6,1.4,4.8,1.9,2.7,72.7,72.7,20.6,7.4,20.1,6.9,70.1,71.3
5,Bam Adebayo,MIA,68,3.2,15.9,1.19,3.9,1.7,2.8,60.4,60.4,12.3,5.0,12.3,2.3,59.5,32.5
6,Aaron Gordon,DEN,60,2.7,18.6,1.51,4.1,1.8,2.3,81.0,81.0,14.7,4.3,13.5,3.1,77.9,89.9
7,Kevon Looney,GSW,72,2.6,43.3,1.29,3.4,1.4,2.2,65.4,65.4,18.6,3.2,18.1,4.8,67.6,51.0
8,Deandre Ayton,PHX,61,2.9,17.5,1.27,3.7,1.7,2.6,64.3,64.3,9.6,5.6,9.0,3.4,62.9,47.2
9,Ivica Zubac,LAC,66,2.5,25.4,1.27,3.2,1.3,2.0,66.7,66.7,15.2,6.1,15.2,1.8,65.2,46.9
10,Nikola Jokic,DEN,64,2.1,10.2,1.42,3.0,1.3,1.9,70.0,70.0,16.1,4.4,14.6,8.0,68.6,77.3
11,Kenyon Martin Jr.,HOU,71,1.9,17.2,1.45,2.7,1.2,1.6,75.7,75.7,17.3,6.0,17.3,6.8,72.9,81.2
12,Jonas Valanciunas,NOP,68,2.1,15.4,1.28,2.6,1.1,1.7,65.5,65.5,14.2,7.8,13.5,2.1,64.5,48.1
13,Onyeka Okongwu,ATL,69,1.8,22.5,1.41,2.6,1.1,1.5,72.1,72.1,15.1,5.6,15.1,3.2,71.4,76.1
14,Clint Capela,ATL,55,2.3,22.8,1.38,3.2,1.5,2.1,71.9,71.9,8.7,3.1,8.7,1.6,70.1,66.8
15,Mason Plumlee,CHA,56,2.3,21.3,1.38,3.1,1.2,1.6,75.3,75.3,28.3,6.3,27.6,4.7,73.2,66.8
16,Walker Kessler,UTA,66,2.0,28.1,1.35,2.6,1.2,1.6,75.7,75.7,11.6,7.8,10.1,2.3,69.8,57.9
17,Myles Turner,IND,59,2.0,12.7,1.44,2.8,1.2,1.6,73.4,73.4,19.0,5.2,18.1,5.2,72.4,80.6
18,Anthony Davis,LAL,46,2.5,10.7,1.45,3.6,1.5,2.1,71.9,71.9,16.8,3.5,15.9,5.3,72.6,81.5
19,Brook Lopez,MIL,69,1.7,12.6,1.36,2.4,1.0,1.5,68.6,68.6,17.5,5.0,17.5,7.5,67.5,61.5
20,Drew Eubanks,POR,69,1.8,35.1,1.28,2.3,1.1,1.6,66.7,66.7,7.2,5.6,7.2,1.6,64.0,48.8
21,Daniel Gafford,WAS,69,1.5,23.0,1.5,2.3,0.9,1.2,77.1,77.1,27.6,2.9,27.6,9.5,77.1,89.3
22,Brandon Clarke,MEM,56,2.2,26.8,1.27,2.8,1.3,1.9,66.7,66.7,14.6,3.3,14.6,3.3,63.4,45.1
23,Lauri Markkanen,UTA,63,1.8,8.6,1.34,2.5,1.0,1.5,62.9,62.9,19.0,2.6,17.2,5.2,66.4,57.0
24,Jimmy Butler,MIA,58,1.7,9.1,1.52,2.7,0.9,1.3,74.3,74.3,26.7,5.9,26.7,5.9,75.2,90.7
25,Jarred Vanderbilt,UTA,52,2.4,28.9,1.24,2.9,1.3,2.0,63.5,63.5,14.6,4.9,13.8,4.1,61.8,40.0
26,Nikola Vucevic,CHI,70,1.5,9.0,1.4,2.1,1.0,1.3,74.7,74.7,8.5,9.4,8.5,3.8,68.9,70.7
27,Scottie Barnes,TOR,69,1.9,11.1,1.15,2.1,0.9,1.6,56.0,56.0,14.1,5.5,14.1,4.7,56.3,23.0
28,Larry Nance Jr.,NOP,54,1.9,30.6,1.39,2.7,1.2,1.7,72.8,72.8,10.6,3.8,10.6,2.9,69.2,69.9
29,Jalen Duren,DET,58,2.0,24.6,1.26,2.5,1.1,1.6,66.0,66.0,15.7,5.2,15.7,2.6,65.2,44.0
30,Draymond Green,GSW,63,1.8,18.7,1.25,2.3,1.0,1.5,66.0,66.0,14.0,6.1,13.2,2.6,64.0,43.0
31,Kristaps Porzingis,WAS,60,1.9,9.2,1.26,2.4,0.9,1.5,60.0,60.0,24.8,5.3,23.9,9.7,61.9,43.3
32,Dwight Powell,DAL,66,1.5,26.6,1.44,2.1,0.9,1.2,74.0,74.0,26.5,2.0,26.5,7.1,73.5,80.3
33,Alperen Sengun,HOU,65,1.8,12.4,1.14,2.1,0.9,1.5,62.9,62.9,8.5,11.9,8.5,2.5,57.6,21.5
34,Mitchell Robinson,NYK,50,1.7,27.4,1.53,2.6,1.2,1.5,82.2,82.2,17.4,1.2,17.4,3.5,79.1,92.2
35,Joel Embiid,PHI,57,1.7,5.8,1.35,2.3,0.8,1.2,69.6,69.6,26.0,7.3,26.0,5.2,68.8,60.1
36,Jakob Poeltl,SAS,46,2.4,20.6,1.17,2.8,1.2,2.0,63.3,63.3,11.7,8.1,11.7,0.9,60.4,28.7
37,Giannis Antetokounmpo,MIL,56,1.6,5.3,1.34,2.1,0.9,1.3,72.2,72.2,16.9,7.9,14.6,5.6,67.4,57.3
38,Hamidou Diallo,DET,56,1.5,16.6,1.39,2.1,0.9,1.3,69.9,69.9,15.3,4.7,15.3,5.9,68.2,68.7
39,Thomas Bryant,LAL,41,1.8,19.9,1.51,2.8,1.1,1.6,73.4,73.4,17.3,1.3,17.3,4.0,76.0,89.6
40,Chris Boucher,TOR,66,1.5,17.3,1.18,1.7,0.7,1.1,61.3,61.3,17.7,7.3,17.7,3.1,60.4,29.6
41,Nick Richards,CHA,57,1.4,20.5,1.44,2.0,0.8,1.1,70.5,70.5,28.2,1.3,26.9,7.7,73.1,79.1
42,Jonathan Kuminga,GSW,57,1.4,14.7,1.37,2.0,0.9,1.1,76.9,76.9,9.8,12.2,9.8,1.2,69.5,63.6
43,Jalen Williams,OKC,65,1.2,9.0,1.48,1.7,0.7,0.9,77.6,77.6,20.0,8.0,20.0,5.3,73.3,85.6
44,Jayson Tatum,BOS,67,1.4,5.0,1.18,1.6,0.7,1.2,61.5,61.5,8.6,9.7,8.6,2.2,58.1,30.7
45,Josh Giddey,OKC,66,1.4,8.0,1.17,1.7,0.8,1.3,62.8,62.8,3.2,6.4,3.2,1.1,59.6,28.4
46,LeBron James,LAL,47,1.2,4.4,1.86,2.3,1.0,1.1,90.7,90.7,13.8,1.7,13.8,8.6,89.7,99.7
47,Bobby Portis,MIL,60,1.3,9.6,1.41,1.8,0.8,1.1,76.9,76.9,5.3,9.2,5.3,0.0,71.1,74.9
48,Xavier Tillman,MEM,51,1.5,24.8,1.38,2.1,1.0,1.4,72.5,72.5,7.8,3.9,7.8,1.3,70.1,66.3
49,Klay Thompson,GSW,60,1.4,6.7,1.28,1.8,0.6,1.1,60.0,60.0,19.3,2.4,20.5,1.2,65.1,48.4
50,Jaylen Brown,BOS,60,1.4,5.6,1.23,1.8,0.7,1.2,60.3,60.3,12.8,4.7,11.6,2.3,61.6,39.1
51,Franz Wagner,ORL,71,1.0,5.6,1.48,1.5,0.6,0.8,74.1,74.1,23.9,4.2,21.1,4.2,76.1,85.1
52,John Collins,ATL,61,1.2,10.3,1.35,1.7,0.7,0.9,73.7,73.7,17.1,10.5,17.1,2.6,69.7,60.6
53,Moritz Wagner,ORL,49,1.5,15.1,1.4,2.1,0.7,1.0,68.6,68.6,30.1,4.1,30.1,4.1,72.6,71.6
54,Jusuf Nurkic,POR,51,1.6,12.1,1.22,2.0,0.8,1.2,63.9,63.9,22.9,8.4,24.1,6.0,61.4,36.7
55,Ben Simmons,BKN,42,2.1,24.5,1.16,2.4,1.1,1.9,60.8,60.8,8.0,3.4,8.0,2.3,57.5,25.7
56,Wendell Carter Jr.,ORL,49,1.7,11.8,1.18,2.0,0.9,1.3,66.7,66.7,14.1,12.9,12.9,1.2,61.2,29.3
57,Jeremy Sochan,SAS,55,1.3,10.1,1.44,1.8,0.8,1.1,76.3,76.3,10.1,5.8,10.1,2.9,72.5,78.7
58,Chimezie Metu,SAC,57,1.2,26.7,1.49,1.7,0.7,1.0,74.5,74.5,15.2,3.0,15.2,1.5,75.8,86.8
59,Isaiah Hartenstein,NYK,72,1.2,22.5,1.17,1.4,0.6,1.0,61.4,61.4,11.9,9.5,9.5,4.8,57.1,27.0
60,Luke Kornet,BOS,59,1.1,35.4,1.52,1.6,0.7,0.9,78.8,78.8,15.6,6.3,15.6,3.1,75.0,90.1
61,JaMychal Green,GSW,52,1.3,21.7,1.43,1.9,0.8,1.0,76.9,76.9,22.1,8.8,22.1,7.4,72.1,77.6
62,Michael Porter Jr.,DEN,55,1.1,7.6,1.55,1.7,0.8,1.0,78.2,78.2,11.3,3.2,11.3,3.2,77.4,93.1
63,Julius Randle,NYK,72,1.0,4.0,1.37,1.3,0.5,0.7,65.4,65.4,35.7,7.1,34.3,17.1,67.1,64.5
64,Kevin Huerter,SAC,66,1.0,7.8,1.4,1.4,0.6,0.8,72.2,72.2,20.6,7.4,17.6,7.4,69.1,71.3
65,Zach Collins,SAS,58,1.5,13.1,1.1,1.6,0.7,1.2,55.6,55.6,11.6,5.8,12.8,2.3,55.8,18.5
66,Jalen Smith,IND,59,1.1,11.6,1.45,1.6,0.6,0.9,71.7,71.7,21.9,4.7,21.9,9.4,70.3,82.1
67,Andrew Wiggins,GSW,37,1.8,10.7,1.43,2.5,1.2,1.6,72.9,72.9,13.8,3.1,13.8,7.7,70.8,78.2
68,Robert Williams III,BOS,28,2.1,33.0,1.53,3.3,1.5,1.9,82.7,82.7,11.7,6.7,11.7,5.0,78.3,91.9
69,Keegan Murray,SAC,68,1.1,10.0,1.25,1.3,0.5,0.9,61.7,61.7,16.4,6.8,16.4,5.5,61.6,41.2
70,Jeff Green,DEN,48,1.3,16.8,1.48,1.9,0.7,1.0,74.5,74.5,24.6,6.6,24.6,8.2,73.8,84.4
71,Jaren Jackson Jr.,MEM,53,1.2,7.1,1.48,1.7,0.6,0.9,72.3,72.3,24.6,3.3,21.3,4.9,75.4,84.4
72,Kyle Kuzma,WAS,64,1.0,4.3,1.45,1.4,0.6,0.9,70.9,70.9,16.1,1.6,17.7,8.1,71.0,81.8
73,Keita Bates-Diop,SAS,56,1.3,16.2,1.24,1.6,0.7,1.0,66.1,66.1,16.7,12.5,16.7,6.9,61.1,40.3
74,Jerami Grant,POR,63,1.0,5.4,1.38,1.4,0.5,0.8,62.7,62.7,25.0,4.7,25.0,9.4,65.6,65.6
75,Jaden McDaniels,MIN,69,0.8,7.3,1.54,1.2,0.5,0.7,77.1,77.1,17.9,1.8,17.9,5.4,78.6,92.5
76,Stephen Curry,GSW,46,1.2,4.6,1.58,1.8,0.7,1.0,77.3,77.3,17.0,3.8,17.0,3.8,77.4,94.6
77,Harrison Barnes,SAC,70,0.9,7.2,1.29,1.2,0.5,0.7,70.2,70.2,20.0,9.2,20.0,1.5,67.7,50.7
78,Herbert Jones,NOP,55,1.3,12.4,1.22,1.5,0.6,1.0,64.8,64.8,20.3,10.1,18.8,8.7,62.3,37.1
79,Christian Wood,DAL,58,1.2,7.9,1.18,1.4,0.6,1.0,57.6,57.6,18.3,4.2,16.9,5.6,60.6,31.0
80,Santi Aldama,MEM,67,0.8,9.1,1.6,1.2,0.5,0.7,78.3,78.3,13.5,1.9,11.5,3.8,78.8,95.2
81,Wenyen Gabriel,LAL,58,1.2,23.5,1.14,1.4,0.6,1.0,56.9,56.9,22.2,4.2,22.2,6.9,56.9,22.4
82,Naz Reid,MIN,63,1.0,9.3,1.35,1.3,0.6,0.8,68.6,68.6,18.3,3.3,18.3,6.7,70.0,58.2
83,Caleb Martin,MIA,62,1.0,10.0,1.33,1.3,0.5,0.8,68.8,68.8,16.4,8.2,13.1,3.3,67.2,55.2
84,Bradley Beal,WAS,49,1.2,5.2,1.4,1.6,0.7,0.9,71.1,71.1,17.5,8.8,17.5,5.3,68.4,74.0
85,Precious Achiuwa,TOR,47,1.4,14.7,1.22,1.7,0.8,1.2,65.5,65.5,10.8,9.2,10.8,4.6,60.0,36.1
86,Shai Gilgeous-Alexander,OKC,60,0.8,2.9,1.63,1.3,0.6,0.8,80.0,80.0,6.3,0.0,6.3,0.0,81.3,96.1
87,Zion Williamson,NOP,29,2.0,8.4,1.37,2.7,1.2,1.7,71.4,71.4,14.0,3.5,14.0,3.5,70.2,64.1
88,Bennedict Mathurin,IND,67,1.0,6.2,1.15,1.2,0.4,0.8,50.9,50.9,23.5,1.5,23.5,5.9,58.8,22.7
89,Terance Mann,LAC,71,0.7,9.1,1.48,1.1,0.5,0.6,81.4,81.4,13.5,7.7,13.5,3.8,75.0,86.0
90,Patrick Williams,CHI,70,0.8,8.0,1.38,1.1,0.5,0.7,71.4,71.4,7.1,7.1,7.1,1.8,67.9,65.6
91,Mark Williams,CHA,38,1.6,23.6,1.24,2.0,0.9,1.3,67.3,67.3,14.5,6.5,14.5,0.0,66.1,40.9
92,Torrey Craig,PHX,68,0.9,12.0,1.22,1.1,0.5,0.8,65.5,65.5,6.3,7.9,6.3,1.6,61.9,37.7
93,Kenrich Williams,OKC,53,1.2,15.9,1.22,1.5,0.7,1.0,67.3,67.3,6.3,6.3,6.3,0.0,63.5,37.7
94,Isaiah Jackson,IND,52,1.3,19.7,1.15,1.4,0.6,0.9,61.2,61.2,21.5,6.2,21.5,3.1,63.1,23.7
95,Jericho Sims,NYK,49,1.1,38.0,1.42,1.5,0.7,1.0,74.5,74.5,5.8,5.8,5.8,1.9,71.2,76.9
96,Doug McDermott,SAS,59,1.0,10.5,1.28,1.3,0.6,0.9,64.8,64.8,5.2,3.4,5.2,1.7,63.8,47.6
97,Jock Landale,PHX,62,1.0,15.9,1.19,1.2,0.5,0.8,67.3,67.3,11.3,12.9,11.3,3.2,61.3,33.1
98,Pascal Siakam,TOR,62,0.8,3.3,1.49,1.2,0.5,0.7,66.7,66.7,28.6,2.0,28.6,16.3,69.4,87.2
99,Jaxson Hayes,NOP,43,1.4,27.3,1.24,1.7,0.7,1.1,63.8,63.8,20.3,6.8,20.3,6.8,64.4,40.6
100,RJ Barrett,NYK,65,1.0,4.6,1.18,1.1,0.5,0.8,58.2,58.2,9.7,4.8,9.7,3.2,58.1,29.9
101,P.J. Washington,CHA,67,0.8,5.2,1.31,1.1,0.4,0.7,65.9,65.9,18.5,5.6,18.5,5.6,64.8,53.4
102,Jordan Poole,GSW,72,0.8,4.0,1.16,1.0,0.4,0.7,57.1,57.1,14.8,8.2,14.8,3.3,57.4,26.3
103,O.G. Anunoby,TOR,58,0.8,4.6,1.59,1.2,0.6,0.7,84.2,84.2,13.6,4.5,13.6,4.5,81.8,94.9
104,Shaedon Sharpe,POR,70,0.7,8.9,1.46,1.0,0.5,0.6,76.2,76.2,10.4,4.2,10.4,2.1,72.9,83.0
105,Aaron Wiggins,OKC,59,0.9,13.9,1.35,1.2,0.5,0.7,68.3,68.3,17.3,7.7,17.3,3.8,67.3,57.6
106,Tari Eason,HOU,71,1.0,10.5,0.97,1.0,0.4,0.8,45.5,45.5,20.8,4.2,20.8,1.4,52.8,7.8
107,Troy Brown Jr.,LAL,66,0.7,10.4,1.41,1.0,0.4,0.6,65.9,65.9,18.4,2.0,18.4,4.1,69.4,75.2
108,Keldon Johnson,SAS,60,0.9,3.9,1.35,1.1,0.5,0.7,69.2,69.2,21.6,11.8,21.6,9.8,62.7,59.0
109,Jabari Smith Jr.,HOU,68,0.9,6.8,1.08,1.0,0.4,0.7,54.0,54.0,17.7,4.8,16.1,3.2,58.1,16.4
110,Kelly Olynyk,UTA,58,0.8,6.8,1.44,1.1,0.5,0.7,76.3,76.3,10.9,8.7,10.9,2.2,71.7,78.7
111,Bruce Brown,DEN,71,0.7,6.0,1.4,0.9,0.4,0.5,69.2,69.2,17.0,4.3,17.0,4.3,70.2,74.3
112,Isaiah Stewart,DET,50,1.0,8.7,1.32,1.3,0.4,0.7,62.9,62.9,26.0,6.0,26.0,2.0,68.0,54.3
113,Paolo Banchero,ORL,65,0.9,4.2,1.12,1.0,0.4,0.7,57.8,57.8,15.3,10.2,15.3,1.7,57.6,19.1
114,Willy Hernangomez,NOP,35,1.4,19.7,1.35,1.9,0.7,1.0,68.6,68.6,22.9,6.3,22.9,2.1,68.8,60.1
115,Malik Monk,SAC,67,0.7,5.3,1.35,1.0,0.4,0.6,66.7,66.7,12.5,2.1,10.4,2.1,66.7,60.1
116,Cedi Osman,CLE,68,0.6,7.2,1.56,0.9,0.4,0.5,81.1,81.1,12.2,2.4,9.8,4.9,78.0,93.4
117,Lamar Stevens,CLE,53,0.9,16.0,1.36,1.2,0.5,0.6,78.8,78.8,23.4,10.6,23.4,4.3,70.2,62.4
118,Bol Bol,ORL,67,0.6,6.4,1.66,0.9,0.4,0.5,83.3,83.3,7.9,2.6,7.9,5.3,81.6,97.6
119,Paul Reed,PHI,57,0.8,21.5,1.41,1.1,0.5,0.7,71.8,71.8,9.1,4.5,6.8,2.3,70.5,75.5
120,Isaac Okoro,CLE,73,0.6,11.0,1.32,0.8,0.4,0.6,68.3,68.3,14.9,6.4,14.9,8.5,66.0,54.0
121,Andre Drummond,CHI,57,0.9,14.7,1.22,1.1,0.4,0.7,61.0,61.0,21.6,3.9,21.6,5.9,60.8,36.4
122,Marvin Bagley III,DET,34,1.2,10.8,1.5,1.8,0.8,1.1,75.7,75.7,7.5,5.0,7.5,5.0,72.5,88.8
123,Jakob Poeltl,TOR,16,3.1,24.9,1.22,3.8,1.6,2.5,65.0,65.0,12.2,4.1,14.3,0.0,65.3,38.2
124,Bismack Biyombo,PHX,51,1.2,26.9,1.02,1.2,0.6,1.0,56.9,56.9,13.6,3.4,13.6,3.4,52.5,11.3
125,Thaddeus Young,TOR,54,0.9,18.3,1.28,1.1,0.5,0.8,68.3,68.3,6.5,6.5,6.5,2.2,65.2,49.6
126,Kelly Oubre Jr.,CHA,46,1.0,5.2,1.23,1.3,0.5,0.8,59.0,59.0,22.9,6.3,22.9,10.4,60.4,38.5
127,Luguentz Dort,OKC,64,0.8,5.5,1.16,0.9,0.4,0.7,59.1,59.1,11.8,7.8,11.8,5.9,56.9,24.8
128,Steven Adams,MEM,42,1.3,14.0,1.05,1.4,0.7,1.1,60.9,60.9,21.4,1.8,19.6,5.4,53.6,13.7
129,Mikal Bridges,PHX,56,0.9,5.5,1.16,1.0,0.4,0.8,58.1,58.1,10.0,6.0,10.0,2.0,58.0,25.4
130,Max Strus,MIA,71,0.5,4.3,1.63,0.8,0.4,0.5,81.8,81.8,8.6,5.7,8.6,8.6,77.1,96.4
131,DeAndre Jordan,DEN,35,1.3,27.8,1.29,1.6,0.7,1.0,74.3,74.3,18.2,6.8,18.2,4.5,68.2,51.3
132,JaVale McGee,DAL,12,0.8,15.6,1.3,1.1,0.5,0.7,75.0,75.0,20.0,0.0,20.0,0.0,70.0,51.7
133,Montrezl Harrell,PHI,51,0.9,18.2,1.22,1.1,0.4,0.7,64.7,64.7,21.7,13.0,19.6,8.7,60.9,37.1
134,Trey Lyles,SAC,62,0.5,6.6,1.83,0.9,0.3,0.3,85.7,85.7,37.9,0.0,37.9,10.3,89.7,99.4
135,Zeke Nnaji,DEN,45,0.8,19.0,1.4,1.2,0.5,0.8,70.6,70.6,13.2,2.6,13.2,5.3,71.1,70.4
136,Desmond Bane,MEM,48,0.8,4.0,1.4,1.1,0.5,0.7,62.9,62.9,18.4,0.0,18.4,10.5,65.8,70.4
137,Obi Toppin,NYK,57,0.6,10.1,1.41,0.9,0.4,0.6,68.8,68.8,13.5,2.7,13.5,2.7,70.3,74.6
138,Kevin Durant,BKN,39,1.0,4.0,1.31,1.3,0.6,0.8,66.7,66.7,15.4,7.7,15.4,7.7,64.1,52.6
139,Kyle Anderson,MIN,59,0.8,8.4,1.11,0.9,0.4,0.6,60.5,60.5,8.7,10.9,8.7,2.2,56.5,18.8
140,Tobias Harris,PHI,65,0.6,4.3,1.32,0.8,0.4,0.5,71.9,71.9,10.5,5.3,10.5,0.0,68.4,53.7
141,Charles Bassey,SAS,35,1.1,20.2,1.28,1.4,0.7,0.9,69.7,69.7,10.3,10.3,10.3,5.1,64.1,49.3
142,Jrue Holiday,MIL,59,0.7,3.7,1.16,0.8,0.4,0.7,61.5,61.5,2.3,7.0,2.3,0.0,58.1,26.0
143,Kentavious Caldwell-Pope,DEN,70,0.6,6.3,1.14,0.7,0.3,0.5,57.6,57.6,20.5,11.4,20.5,6.8,56.8,21.9
144,Josh Hart,POR,51,0.6,6.7,1.49,1.0,0.4,0.6,75.9,75.9,9.1,6.1,9.1,3.0,72.7,86.8
145,Corey Kispert,WAS,63,0.6,7.0,1.36,0.8,0.3,0.5,64.5,64.5,16.7,2.8,16.7,5.6,66.7,62.1
146,Robin Lopez,CLE,17,0.8,25.9,1.21,1.0,0.4,0.6,63.6,63.6,21.4,14.3,21.4,14.3,57.1,34.4
147,De'Andre Hunter,ATL,61,0.6,4.2,1.29,0.8,0.3,0.4,66.7,66.7,18.4,10.5,15.8,0.0,65.8,50.4
148,Jalen Johnson,ATL,64,0.6,12.3,1.2,0.8,0.3,0.5,60.0,60.0,14.6,4.9,14.6,4.9,61.0,33.4
149,Deni Avdija,WAS,69,0.7,7.1,1.02,0.7,0.3,0.6,48.8,48.8,14.9,2.1,12.8,4.3,51.1,11.6
150,Derrick Jones Jr.,CHI,53,0.8,19.6,1.07,0.9,0.4,0.6,58.8,58.8,13.6,6.8,15.9,0.0,59.1,14.3
151,Mason Plumlee,LAC,13,2.3,33.3,1.53,3.5,1.2,1.6,71.4,71.4,36.7,3.3,36.7,10.0,76.7,91.9
152,Mo Bamba,ORL,40,0.8,12.5,1.44,1.1,0.5,0.7,75.0,75.0,12.5,6.3,9.4,6.3,71.9,79.9
153,Markelle Fultz,ORL,51,0.6,4.4,1.39,0.9,0.4,0.5,75.0,75.0,6.1,9.1,6.1,0.0,69.7,69.6
154,Dewayne Dedmon,MIA,30,1.1,20.4,1.35,1.5,0.6,1.0,65.5,65.5,17.6,0.0,17.6,2.9,70.6,59.0
155,Darius Bazley,OKC,36,1.0,16.7,1.31,1.3,0.5,0.8,67.9,67.9,22.9,2.9,22.9,5.7,71.4,53.1
156,Jamal Murray,DEN,58,0.7,3.5,1.15,0.8,0.3,0.6,54.5,54.5,17.5,2.5,15.0,2.5,60.0,23.3
157,Quentin Grimes,NYK,61,0.5,5.8,1.36,0.7,0.3,0.4,74.1,74.1,12.1,9.1,12.1,3.0,69.7,63.1
158,Donte DiVincenzo,GSW,62,0.6,6.5,1.18,0.7,0.3,0.6,60.0,60.0,7.9,5.3,7.9,5.3,57.9,31.3
159,Anthony Gill,WAS,45,1.0,24.0,1.52,1.0,0.5,0.6,75.0,75.0,6.9,0.0,6.9,3.4,75.9,90.2
160,Goga Bitadze,IND,14,0.8,19.0,1.46,1.1,0.4,0.5,86.0,86.0,27.3,18.2,27.3,9.1,72.7,73.1
