,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Kevin Huerter,SAC,64,3.3,24.5,1.15,3.8,1.4,2.8,47.8,63.5,4.7,9.5,3.8,0.5,44.1,81.2
1,Jordan Poole,GSW,69,2.3,11.0,1.07,2.5,0.8,1.9,45.3,56.3,9.9,12.4,7.5,1.9,44.1,71.4
2,Jalen Green,HOU,62,2.3,9.9,1.1,2.5,0.9,2.0,47.1,58.7,6.3,9.9,6.3,1.4,45.1,74.1
3,Tyler Herro,MIA,56,2.7,12.9,0.97,2.6,1.0,2.2,44.0,52.4,6.0,12.1,5.4,2.0,40.9,56.5
4,Jamal Murray,DEN,55,2.4,11.9,1.08,2.6,0.9,2.1,45.2,53.9,9.2,4.6,5.4,2.3,46.9,72.5
5,Stephen Curry,GSW,43,2.7,10.7,1.22,3.3,1.0,2.3,45.4,61.3,10.4,9.6,9.6,4.3,44.3,89.4
6,CJ McCollum,NOP,62,2.1,9.6,1.02,2.2,0.8,1.7,45.2,54.3,10.6,15.2,9.1,4.5,41.7,65.1
7,Damian Lillard,POR,55,2.0,7.2,1.2,2.4,0.7,1.5,43.9,56.1,16.4,10.0,12.7,0.9,48.2,87.4
8,Keldon Johnson,SAS,57,2.3,10.7,0.94,2.2,0.7,1.8,39.2,45.1,16.0,9.9,16.0,3.8,42.7,52.5
9,Keegan Murray,SAC,65,1.6,14.5,1.19,1.8,0.7,1.4,47.3,64.3,2.0,7.9,2.0,0.0,44.6,85.5
10,De'Aaron Fox,SAC,60,1.8,7.4,1.11,2.0,0.8,1.5,50.0,56.5,7.6,4.8,6.7,0.0,51.4,77.3
11,Terry Rozier,CHA,61,1.5,6.7,1.15,1.7,0.7,1.2,54.8,65.1,5.5,14.3,3.3,0.0,49.5,81.6
12,Klay Thompson,GSW,57,2.1,10.1,0.87,1.8,0.7,1.9,36.4,46.4,2.5,8.3,2.5,1.7,33.9,37.6
13,Bradley Beal,WAS,47,1.9,8.3,1.16,2.1,0.9,1.6,57.5,62.3,10.3,6.9,10.3,1.1,55.2,82.4
14,RJ Barrett,NYK,64,1.4,6.7,1.11,1.6,0.6,1.1,50.7,56.2,13.3,8.9,13.3,3.3,51.1,76.4
15,Desmond Bane,MEM,45,2.2,11.0,1.03,2.2,0.8,1.9,45.2,53.0,7.2,7.2,6.2,1.0,45.4,66.7
16,Buddy Hield,IND,69,1.4,9.3,0.99,1.4,0.5,1.2,44.6,54.8,4.0,14.0,4.0,1.0,40.0,58.8
17,Franz Wagner,ORL,68,1.7,9.4,0.87,1.4,0.5,1.4,35.1,39.7,10.6,6.2,8.8,2.7,38.1,37.3
18,Anfernee Simons,POR,60,1.2,6.0,1.33,1.6,0.6,1.1,53.1,68.0,5.5,6.8,4.1,0.0,52.1,94.5
19,Malik Monk,SAC,64,1.6,11.7,0.93,1.5,0.6,1.3,45.8,53.0,4.0,15.8,4.0,2.0,39.6,49.8
