,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Klay Thompson,GSW,54,6.1,29.0,0.97,5.9,2.1,5.5,38.3,51.7,2.7,7.9,2.4,0.3,36.8,54.2
1,Bojan Bogdanovic,DET,59,3.1,16.1,1.17,3.6,1.3,2.6,49.0,59.4,8.2,8.7,6.6,1.6,48.1,85.9
2,Lauri Markkanen,UTA,59,2.9,14.0,1.07,3.2,1.0,2.4,40.3,50.7,15.5,6.9,14.9,5.2,43.1,72.9
3,Malik Beasley,UTA,55,2.4,17.8,1.1,2.6,1.0,2.3,41.9,56.2,0.0,2.3,0.0,0.0,40.9,76.6
4,Jordan Poole,GSW,66,2.0,9.4,0.99,2.0,0.6,1.7,36.7,49.5,11.3,9.8,10.5,3.0,38.3,56.8
5,Jayson Tatum,BOS,62,2.2,8.1,0.94,2.1,0.7,1.9,38.8,46.1,10.1,9.4,10.8,3.6,38.8,45.8
6,Jaylen Brown,BOS,55,2.6,10.3,0.9,2.4,0.9,2.3,40.3,48.8,4.8,11.0,4.8,1.4,37.9,34.6
7,Stephen Curry,GSW,40,2.9,11.7,1.08,3.1,1.0,2.5,40.8,54.6,8.5,9.4,7.7,1.7,41.0,73.8
8,Damian Lillard,POR,53,1.9,7.0,1.16,2.2,0.8,1.8,44.1,60.2,4.9,7.8,3.9,2.9,41.7,84.9
9,Devin Booker,PHX,39,2.6,10.1,1.17,3.0,1.1,2.1,52.5,59.4,13.0,11.0,13.0,4.0,51.0,86.5
10,CJ McCollum,NOP,59,1.9,8.5,0.88,1.7,0.6,1.7,34.0,42.2,7.2,2.7,7.2,2.7,36.0,31.8
11,Jordan Clarkson,UTA,61,1.9,8.6,0.86,1.6,0.6,1.6,37.5,45.3,7.1,8.8,7.1,1.8,36.3,28.6
12,Terry Rozier,CHA,57,2.0,9.1,0.82,1.6,0.6,1.8,34.3,40.7,5.2,7.0,5.2,0.9,34.8,22.4
13,Kevin Durant,BKN,39,2.4,9.4,0.99,2.3,1.0,1.9,52.7,53.4,10.9,15.2,9.8,6.5,46.7,56.3
14,Bradley Beal,WAS,44,2.1,9.5,0.97,2.0,0.8,1.6,50.0,52.8,7.5,15.1,7.5,0.0,46.2,52.6
15,Paul George,LAC,51,1.9,8.2,0.92,1.7,0.6,1.6,36.1,45.2,7.3,8.3,7.3,2.1,36.5,38.4
16,Darius Garland,CLE,58,1.1,5.2,1.33,1.5,0.5,0.9,53.7,67.6,12.5,7.8,12.5,4.7,53.1,92.7
17,Gary Trent Jr.,TOR,58,1.6,9.6,0.9,1.4,0.6,1.5,38.8,45.3,4.3,5.4,4.3,1.1,38.7,35.9
18,Donovan Mitchell,CLE,57,1.8,7.3,0.82,1.5,0.6,1.6,34.0,40.4,4.9,3.9,4.9,0.0,35.9,21.9
19,Tim Hardaway Jr.,DAL,61,1.1,8.3,1.2,1.4,0.4,1.0,40.7,54.2,14.5,2.9,14.5,2.9,44.9,89.1
20,Zach LaVine,CHI,62,1.3,5.9,0.99,1.3,0.4,1.1,39.1,51.4,7.2,9.6,6.0,0.0,39.8,55.7
21,Max Strus,MIA,65,1.5,12.8,0.83,1.2,0.4,1.4,30.4,41.8,2.0,4.1,2.0,0.0,30.6,25.0
22,Kevin Huerter,SAC,61,1.3,10.0,0.98,1.3,0.5,1.2,37.3,51.3,2.4,6.1,2.4,0.0,36.6,55.2
23,Desmond Bane,MEM,42,2.0,10.1,0.96,1.9,0.6,1.7,37.0,48.6,6.0,8.4,6.0,2.4,36.1,51.6
24,Michael Porter Jr.,DEN,49,1.7,11.6,0.93,1.6,0.7,1.6,40.0,47.5,2.4,4.7,2.4,1.2,38.8,41.7
25,Anfernee Simons,POR,57,1.4,6.7,1.01,1.4,0.5,1.3,41.1,53.4,0.0,5.2,0.0,0.0,39.0,66.7
26,Kristaps Porzingis,WAS,56,1.4,6.9,0.96,1.4,0.4,1.1,38.7,46.0,12.7,8.9,11.4,0.0,43.0,51.0
27,Mikal Bridges,PHX,56,1.3,8.0,1.03,1.3,0.6,1.2,47.8,50.7,6.8,4.1,6.8,2.7,47.9,67.7
28,Buddy Hield,IND,66,1.6,10.0,0.73,1.1,0.4,1.3,28.1,34.8,4.9,8.7,4.9,0.0,29.1,11.5
29,Bogdan Bogdanovic,ATL,41,1.9,13.7,0.96,1.8,0.7,1.8,41.7,48.6,2.6,3.9,2.6,0.0,41.6,50.5
30,Kelly Oubre Jr.,CHA,42,1.9,9.2,0.94,1.7,0.6,1.6,37.7,44.9,10.3,3.8,10.3,2.6,41.0,44.3
31,AJ Griffin,ATL,59,1.4,16.8,0.89,1.2,0.5,1.3,40.3,44.8,3.7,2.4,2.4,0.0,40.2,32.8
32,Kawhi Leonard,LAC,40,1.8,9.0,0.97,1.8,0.8,1.7,46.3,50.0,2.7,5.5,2.7,0.0,45.2,53.6
33,Dillon Brooks,MEM,58,1.3,7.9,0.95,1.2,0.4,1.1,38.5,48.5,6.8,6.8,6.8,1.4,39.2,47.9
34,Doug McDermott,SAS,55,1.3,13.9,0.97,1.2,0.5,1.2,39.1,48.4,5.7,2.9,5.7,0.0,41.4,53.1
35,Anthony Edwards,MIN,67,1.3,5.2,0.78,1.0,0.4,1.0,34.3,40.7,8.1,11.6,8.1,1.2,33.7,17.2
36,Jerami Grant,POR,61,0.9,4.9,1.18,1.1,0.3,0.7,46.7,50.0,28.6,0.0,28.6,8.9,55.4,87.9
37,Tyler Herro,MIA,53,1.2,5.7,1.03,1.2,0.5,1.0,45.5,53.6,4.8,8.1,3.2,1.6,43.5,69.3
38,De'Andre Hunter,ATL,56,1.2,7.9,0.95,1.1,0.4,1.1,41.0,43.4,7.6,0.0,7.6,0.0,45.5,49.0
39,Franz Wagner,ORL,65,0.7,4.1,1.3,0.9,0.4,0.6,61.5,73.1,4.3,12.8,0.0,0.0,55.3,92.2
40,Jamal Murray,DEN,52,1.1,5.4,1.11,1.2,0.4,0.9,44.7,58.5,5.5,9.1,3.6,0.0,43.6,79.2
41,Bennedict Mathurin,IND,66,0.8,5.0,1.09,0.9,0.3,0.7,46.8,54.3,12.7,7.3,12.7,5.5,47.3,75.8
42,Andrew Wiggins,GSW,37,1.1,6.6,1.4,1.5,0.6,1.1,56.4,71.8,2.5,2.5,2.5,2.5,55.0,96.3
43,Brandon Ingram,NOP,31,1.9,8.3,0.93,1.8,0.6,1.5,41.7,42.7,13.3,6.7,11.7,0.0,46.7,42.9
44,Sam Hauser,BOS,65,0.7,13.9,1.15,0.8,0.3,0.7,41.9,60.5,2.1,6.4,0.0,0.0,40.4,83.3
45,Norman Powell,LAC,54,1.0,6.7,0.94,1.0,0.3,0.8,42.9,48.8,12.7,10.9,10.9,0.0,45.5,47.4
46,Nikola Jokic,DEN,58,1.0,4.8,0.88,0.9,0.4,0.9,44.0,48.0,5.2,10.3,5.2,1.7,41.4,29.7
47,Isaiah Joe,OKC,58,0.6,7.8,1.46,0.8,0.3,0.5,51.6,72.6,3.0,3.0,3.0,0.0,51.5,96.9
48,Kyrie Irving,BKN,40,1.1,4.4,1.12,1.2,0.5,1.0,45.0,53.8,4.7,2.3,2.3,0.0,46.5,80.2
49,Gordon Hayward,CHA,41,1.4,9.2,0.84,1.2,0.4,1.0,40.0,43.8,15.8,15.8,14.0,1.8,42.1,26.7
50,Fred VanVleet,TOR,55,0.8,4.3,1.02,0.9,0.3,0.8,38.6,53.4,0.0,4.3,0.0,0.0,37.0,67.2
51,Malik Monk,SAC,61,0.9,6.6,0.85,0.8,0.3,0.7,37.8,45.6,5.6,11.1,5.6,0.0,37.0,27.6
52,Donte DiVincenzo,GSW,56,0.7,7.5,1.15,0.8,0.3,0.7,43.2,60.8,0.0,5.1,0.0,0.0,41.0,84.4
53,Grayson Allen,MIL,61,0.8,8.2,0.96,0.7,0.2,0.6,40.5,51.4,8.5,14.9,8.5,2.1,38.3,49.5
54,Jalen Green,HOU,59,0.9,3.8,0.88,0.8,0.3,0.7,34.1,43.2,7.8,7.8,5.9,2.0,35.3,31.3
55,Keldon Johnson,SAS,56,0.9,4.0,0.92,0.8,0.3,0.8,39.5,46.5,4.2,6.3,4.2,0.0,39.6,38.4
56,Kyle Kuzma,WAS,60,0.8,3.7,0.88,0.7,0.2,0.6,36.8,46.1,14.0,14.0,12.0,4.0,38.0,30.2
57,Saddiq Bey,DET,52,0.9,6.3,0.92,0.8,0.3,0.8,33.3,43.6,10.6,6.4,10.6,0.0,38.3,37.5
58,DeMar DeRozan,CHI,60,0.8,3.5,0.9,0.7,0.3,0.6,42.1,42.1,16.7,8.3,16.7,4.2,45.8,33.9
59,Kentavious Caldwell-Pope,DEN,64,0.5,5.1,1.27,0.7,0.2,0.4,57.7,69.2,9.1,12.1,6.1,0.0,54.5,91.1
60,Terrence Ross,ORL,42,1.1,13.4,0.89,1.0,0.4,1.0,34.9,44.2,6.5,4.3,6.5,4.3,34.8,33.3
61,Georges Niang,PHI,62,0.8,11.3,0.77,0.6,0.2,0.7,31.1,41.1,3.8,11.5,3.8,1.9,28.8,15.7
62,Karl-Anthony Towns,MIN,21,1.6,8.0,1.15,1.8,0.6,1.5,41.9,54.8,6.1,0.0,6.1,0.0,45.5,83.9
63,Devonte' Graham,NOP,53,0.8,14.5,0.93,0.7,0.2,0.7,30.6,45.8,9.8,4.9,7.3,2.4,34.1,40.1
64,Trae Young,ATL,59,0.5,2.0,1.16,0.6,0.2,0.4,54.2,64.6,15.6,15.6,9.4,6.3,50.0,85.4
65,Julius Randle,NYK,67,0.6,2.6,0.88,0.6,0.2,0.5,34.3,42.9,14.3,4.8,9.5,2.4,38.1,30.7
66,Trey Murphy III,NOP,63,0.8,7.4,0.74,0.6,0.1,0.7,22.0,30.5,14.0,6.0,10.0,2.0,30.0,12.0
67,Shaedon Sharpe,POR,65,0.6,7.3,0.97,0.6,0.2,0.5,41.2,50.0,5.4,2.7,5.4,0.0,43.2,54.7
68,Luke Kennard,LAC,35,1.4,19.4,0.75,1.0,0.4,1.1,32.5,41.3,4.2,14.6,4.2,2.1,29.2,12.7
69,Joe Harris,BKN,58,0.6,8.2,1.03,0.6,0.2,0.6,42.4,51.5,2.9,2.9,2.9,2.9,41.2,68.2
