,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Nikola Jokic,DEN,61,5.4,25.5,1.19,6.4,2.4,3.8,64.1,64.1,20.5,15.9,18.0,7.0,58.4,90.5
1,Joel Embiid,PHI,55,4.8,16.6,1.15,5.5,1.7,3.1,53.8,53.8,28.6,12.0,24.1,5.3,57.1,87.8
2,Nikola Vucevic,CHI,68,3.5,20.7,1.06,3.7,1.6,2.9,55.1,55.1,10.1,8.4,7.1,1.7,53.4,74.1
3,Luka Doncic,DAL,57,3.9,12.9,1.12,4.4,1.5,2.8,54.0,54.0,26.5,5.8,26.0,5.4,59.2,84.5
4,Kristaps Porzingis,WAS,59,3.4,16.5,1.17,3.9,1.4,2.4,58.0,58.0,24.1,10.6,21.6,6.5,59.3,89.2
5,Deandre Ayton,PHX,60,4.0,23.6,0.97,3.8,1.7,3.3,51.5,51.5,6.8,10.1,5.9,0.4,49.4,54.1
6,Jonas Valanciunas,NOP,66,3.4,25.6,0.99,3.4,1.3,2.3,53.5,53.5,19.1,17.8,17.3,5.8,50.2,57.4
7,Alperen Sengun,HOU,63,3.0,20.6,0.99,3.0,1.2,2.2,56.6,56.6,14.7,15.8,11.1,2.1,51.6,60.1
8,Anthony Davis,LAL,44,3.9,16.8,1.02,3.9,1.4,2.9,46.5,46.5,21.8,7.1,19.4,4.7,51.8,66.9
9,Giannis Antetokounmpo,MIL,54,3.4,11.3,0.94,3.2,1.2,2.3,53.3,53.3,19.0,17.9,15.2,3.3,48.9,51.4
10,Jusuf Nurkic,POR,49,3.8,28.2,0.9,3.4,1.4,2.7,50.0,50.0,15.1,16.1,15.1,4.3,46.8,41.9
11,Domantas Sabonis,SAC,66,2.6,15.0,0.97,2.5,1.1,1.9,54.7,54.7,10.6,15.3,8.8,1.2,50.6,55.4
12,DeMar DeRozan,CHI,62,2.0,8.8,1.3,2.6,1.0,1.6,60.0,60.0,27.0,5.6,27.0,11.9,62.7,98.0
13,Bobby Portis,MIL,58,2.6,19.9,0.99,2.6,1.2,2.3,52.3,52.3,6.6,8.6,5.3,2.0,50.0,59.5
14,Bam Adebayo,MIA,66,2.3,11.4,0.98,2.3,1.0,1.8,54.3,54.3,9.8,15.0,9.8,0.7,50.3,56.8
15,Pascal Siakam,TOR,59,2.5,10.3,0.99,2.5,0.9,1.9,50.0,50.0,17.8,8.9,17.1,2.1,52.1,58.8
16,Zach Collins,SAS,56,2.4,21.6,1.04,2.4,0.9,1.8,51.0,51.0,18.2,11.4,15.2,3.8,52.3,69.6
17,Julius Randle,NYK,71,2.1,8.8,0.9,1.9,0.6,1.4,47.4,47.4,21.1,19.1,17.8,3.9,46.7,39.2
18,Brook Lopez,MIL,68,1.9,13.5,1.06,2.0,0.8,1.4,54.6,54.6,15.9,11.9,14.3,5.6,52.4,72.3
19,John Collins,ATL,59,2.3,19.1,0.98,2.2,1.0,1.9,51.4,51.4,9.6,10.4,9.6,2.2,48.9,56.1
20,Myles Turner,IND,57,2.1,13.4,1.1,2.3,0.9,1.6,54.4,54.4,19.5,8.5,16.1,4.2,56.8,81.1
21,Aaron Gordon,DEN,57,2.2,14.6,1.06,2.3,0.8,1.5,54.8,54.8,28.5,10.6,24.4,7.3,55.3,73.0
22,Jaren Jackson Jr.,MEM,51,2.5,15.5,1.02,2.5,1.0,1.8,55.3,55.3,12.0,14.4,12.0,1.6,52.0,66.2
23,Christian Wood,DAL,57,1.9,12.4,1.06,2.0,0.8,1.3,61.6,61.6,17.4,17.4,14.7,1.8,56.9,75.0
24,Jayson Tatum,BOS,65,1.4,4.9,1.29,1.8,0.5,0.9,58.3,58.3,30.7,5.7,30.7,5.7,64.8,97.3
25,LeBron James,LAL,47,2.6,9.1,0.94,2.4,1.0,2.0,50.0,50.0,13.3,13.3,13.3,6.7,45.8,52.0
26,Scottie Barnes,TOR,66,1.9,11.3,0.87,1.7,0.6,1.5,42.0,42.0,15.7,7.1,13.4,1.6,46.5,34.5
27,Zion Williamson,NOP,29,3.8,16.4,0.99,3.8,1.4,2.6,53.3,53.3,23.4,16.2,19.8,7.2,51.4,58.1
28,Ivica Zubac,LAC,64,1.5,16.1,1.08,1.7,0.6,1.1,59.4,59.4,18.2,14.1,15.2,2.0,56.6,78.4
29,Jerami Grant,POR,63,1.7,9.2,0.95,1.6,0.6,1.2,50.0,50.0,16.7,14.8,14.8,3.7,48.1,53.4
30,Jimmy Butler,MIA,56,2.0,10.6,0.9,1.8,0.7,1.6,44.8,44.8,18.4,12.3,17.5,7.0,45.6,42.6
31,Tobias Harris,PHI,63,1.5,10.7,1.05,1.5,0.7,1.3,51.9,51.9,10.9,5.4,8.7,4.3,52.2,71.6
32,Paolo Banchero,ORL,62,1.7,7.6,0.94,1.6,0.6,1.2,49.3,49.3,15.5,13.6,14.6,1.9,48.5,52.7
33,Kevin Durant,BKN,39,2.1,8.2,1.15,2.4,0.9,1.4,63.0,63.0,17.5,18.8,15.0,3.8,56.3,88.5
34,Jock Landale,PHX,60,1.2,19.5,1.23,1.5,0.6,0.9,64.8,64.8,23.3,9.6,17.8,6.8,61.6,93.9
35,Evan Mobley,CLE,70,1.7,10.9,0.75,1.3,0.4,1.2,36.0,36.0,17.5,11.7,15.0,0.8,39.2,16.3
36,Shai Gilgeous-Alexander,OKC,58,1.3,4.6,1.19,1.5,0.5,0.9,54.9,54.9,27.0,8.1,24.3,4.1,60.8,89.9
37,Kawhi Leonard,LAC,42,1.9,9.4,1.04,2.0,0.8,1.5,50.0,50.0,14.8,7.4,14.8,1.2,53.1,68.7
38,Rudy Gobert,MIN,58,1.1,9.3,1.08,1.2,0.4,0.5,70.0,70.0,38.1,19.0,30.2,4.8,61.9,77.7
39,Marcus Morris Sr.,LAC,60,1.3,11.1,0.88,1.1,0.5,1.0,45.2,45.2,11.7,13.0,10.4,5.2,41.6,37.2
40,Lauri Markkanen,UTA,62,1.3,6.0,0.82,1.1,0.4,0.9,43.6,43.6,16.3,16.3,13.8,2.5,42.5,25.0
41,Mason Plumlee,CHA,56,1.1,10.1,1.08,1.2,0.4,0.7,59.0,59.0,30.0,10.0,25.0,5.0,58.3,79.1
42,Jakob Poeltl,SAS,46,1.5,13.0,0.89,1.3,0.6,1.2,51.9,51.9,8.6,17.1,8.6,2.9,42.9,38.5
43,Paul George,LAC,53,1.1,4.8,1.05,1.2,0.5,0.9,55.1,55.1,6.9,8.6,5.2,0.0,53.4,70.3
44,Harrison Barnes,SAC,68,0.6,4.9,1.27,0.8,0.2,0.4,59.3,59.3,38.6,6.8,27.3,6.8,68.2,96.6
45,Montrezl Harrell,PHI,51,1.0,19.4,1.14,1.1,0.5,0.8,58.5,58.5,14.3,6.1,12.2,4.1,57.1,87.2
46,Devin Booker,PHX,42,1.0,4.0,1.26,1.3,0.5,0.9,61.1,61.1,14.0,7.0,7.0,4.7,60.5,95.3
47,Jalen Brunson,NYK,62,0.9,4.2,0.93,0.9,0.4,0.8,46.9,46.9,7.0,7.0,7.0,0.0,47.4,49.3
48,P.J. Washington,CHA,66,0.9,5.9,0.88,0.8,0.3,0.8,46.0,46.0,13.3,8.3,11.7,5.0,45.0,37.8
49,Russell Westbrook,LAL,52,0.9,4.5,1.11,1.0,0.4,0.8,52.5,52.5,13.0,4.3,13.0,4.3,54.3,82.4
50,Bojan Bogdanovic,DET,59,0.9,4.9,0.84,0.8,0.3,0.6,39.5,39.5,16.1,17.9,12.5,1.8,41.1,27.7
51,RJ Barrett,NYK,64,1.0,4.6,0.76,0.7,0.3,0.8,38.0,38.0,12.9,8.1,12.9,1.6,40.3,17.7
52,Marvin Bagley III,DET,33,1.9,17.3,0.76,1.4,0.7,1.6,42.3,42.3,4.8,11.3,3.2,0.0,38.7,17.7
53,Jrue Holiday,MIL,57,0.9,4.5,0.92,0.8,0.3,0.7,45.0,45.0,12.0,12.0,12.0,4.0,44.0,46.9
54,Jabari Smith Jr.,HOU,66,0.9,6.5,0.79,0.7,0.3,0.6,45.2,45.2,8.6,19.0,6.9,0.0,41.4,20.3
55,Brandon Ingram,NOP,32,1.4,6.0,1.0,1.4,0.6,1.2,48.6,48.6,13.3,6.7,13.3,2.2,48.9,63.8
56,Andrew Wiggins,GSW,37,1.2,7.1,1.02,1.2,0.5,1.1,51.3,51.3,9.3,2.3,9.3,2.3,53.5,67.6
57,Keldon Johnson,SAS,58,0.9,4.0,0.88,0.8,0.3,0.7,41.5,41.5,14.0,8.0,14.0,4.0,44.0,35.8
58,Onyeka Okongwu,ATL,67,0.5,6.3,1.26,0.6,0.2,0.4,56.0,56.0,26.5,5.9,11.8,5.9,61.8,95.9
59,Saddiq Bey,DET,52,0.8,5.2,1.1,0.8,0.3,0.6,45.5,45.5,17.9,0.0,15.4,2.6,53.8,81.8
60,Jarrett Allen,CLE,62,0.8,6.8,0.84,0.7,0.3,0.6,45.9,45.9,11.8,17.6,7.8,2.0,43.1,29.1
61,Karl-Anthony Towns,MIN,21,2.1,10.9,0.93,2.0,0.7,1.3,50.0,50.0,17.8,20.0,13.3,0.0,48.9,50.7
62,Jamal Murray,DEN,55,0.9,4.4,0.85,0.7,0.3,0.7,41.0,41.0,12.5,6.3,10.4,0.0,45.8,32.4
63,De'Andre Hunter,ATL,59,0.7,4.5,1.0,0.7,0.2,0.5,46.4,46.4,25.0,7.5,25.0,2.5,55.0,63.8
64,Jalen Duren,DET,56,0.8,9.8,0.91,0.7,0.3,0.6,46.9,46.9,25.0,9.1,20.5,6.8,50.0,44.6
