,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Trae Young,ATL,66,12.8,47.1,0.94,12.1,4.1,9.4,43.6,48.9,13.6,15.6,9.6,2.1,43.0,66.3
1,Damian Lillard,POR,58,11.1,39.6,1.13,12.5,3.8,7.9,47.6,56.7,18.5,12.7,15.1,3.3,49.2,95.3
2,DeMar DeRozan,CHI,66,9.7,42.2,1.08,10.5,4.2,7.7,54.3,54.8,14.1,10.3,13.8,3.9,53.1,92.3
3,Ja Morant,MEM,54,13.1,47.7,0.93,12.2,4.4,10.0,43.7,46.5,16.1,10.9,15.0,3.7,45.5,63.3
4,Donovan Mitchell,CLE,63,9.2,36.6,1.11,10.2,3.6,7.4,49.4,58.2,10.7,10.9,8.8,2.1,48.2,94.0
5,Luka Doncic,DAL,58,10.4,34.0,1.06,11.0,4.0,7.7,52.1,58.7,14.8,14.3,13.3,3.8,48.8,91.0
6,Jalen Brunson,NYK,65,9.4,43.3,0.99,9.4,3.5,7.6,46.3,49.7,13.1,9.3,11.9,2.8,47.3,78.3
7,Jalen Green,HOU,67,9.9,42.9,0.85,8.5,2.8,7.4,38.3,43.3,14.3,13.9,13.6,2.6,39.5,46.7
8,De'Aaron Fox,SAC,65,8.5,36.1,1.01,8.6,3.3,6.5,50.6,53.4,13.4,12.3,12.1,2.5,49.1,84.7
9,Darius Garland,CLE,64,8.8,41.7,0.96,8.4,3.2,6.8,46.7,52.1,10.3,14.4,7.8,1.6,44.2,68.3
10,Zach LaVine,CHI,68,8.1,35.1,0.93,7.5,2.7,6.5,42.0,47.7,10.9,11.5,9.8,2.4,42.2,64.0
11,Shai Gilgeous-Alexander,OKC,62,8.1,29.2,1.01,8.2,2.9,5.8,49.7,50.7,17.3,14.1,15.7,3.2,49.6,84.3
12,Dejounte Murray,ATL,66,7.9,37.3,0.95,7.5,3.3,7.0,47.6,50.0,4.4,8.6,4.4,1.3,45.1,67.7
13,Tyrese Haliburton,IND,54,8.9,47.1,1.03,9.2,3.3,7.1,46.9,55.5,10.8,13.1,9.8,3.5,44.4,87.0
14,Fred VanVleet,TOR,61,8.1,40.5,0.95,7.7,2.7,6.5,41.5,48.4,10.2,11.4,8.7,1.8,41.5,67.0
15,Anthony Edwards,MIN,71,7.1,28.7,0.91,6.5,2.4,5.5,43.0,48.3,11.3,14.3,10.1,3.0,41.4,59.0
16,Jrue Holiday,MIL,60,7.3,37.8,1.01,7.4,2.8,5.8,48.9,56.5,7.5,13.9,5.9,0.9,45.0,83.7
17,CJ McCollum,NOP,66,7.3,33.5,0.92,6.7,2.6,5.9,43.8,48.5,9.5,12.2,8.5,2.1,42.4,61.7
18,Stephen Curry,GSW,48,7.8,30.8,1.17,9.1,3.2,6.2,51.9,64.0,9.1,14.2,8.3,2.7,47.6,96.7
19,Anfernee Simons,POR,62,6.9,34.1,1.01,6.9,2.6,5.7,45.1,53.7,6.8,9.9,5.4,0.7,43.5,84.0
20,Tyler Herro,MIA,60,7.3,35.8,0.92,6.7,2.5,5.9,43.1,50.0,6.4,14.2,6.2,1.4,39.8,62.0
21,Terry Rozier,CHA,64,7.3,33.1,0.84,6.2,2.4,6.1,38.7,44.2,7.1,10.5,6.4,1.1,38.1,43.3
22,Jordan Poole,GSW,74,5.9,28.0,0.89,5.2,1.8,4.4,40.2,46.8,11.3,15.7,10.2,2.8,38.8,54.0
23,Chris Paul,PHX,51,8.2,56.6,0.9,7.4,2.9,6.5,45.2,49.1,8.2,13.4,4.1,0.7,42.9,57.3
24,Paul George,LAC,56,6.9,29.6,0.97,6.6,2.4,5.2,46.2,53.3,9.9,15.8,8.1,1.3,43.1,71.3
25,Franz Wagner,ORL,73,5.5,30.7,0.92,5.0,2.1,4.2,49.5,53.0,7.0,17.0,6.5,0.5,44.4,62.3
26,Jamal Murray,DEN,59,6.2,31.3,0.96,6.0,2.4,5.1,46.8,52.8,7.1,12.0,5.2,0.8,43.7,69.7
27,Kevin Porter Jr.,HOU,51,8.6,43.0,0.79,6.8,2.4,6.3,38.9,43.7,10.1,18.8,9.6,2.5,35.9,32.7
28,Jayson Tatum,BOS,68,5.8,20.8,0.88,5.1,1.7,4.6,37.4,44.7,11.5,11.2,9.9,2.6,38.3,52.3
29,Devin Booker,PHX,45,7.6,29.6,0.99,7.5,2.9,6.2,46.4,50.5,12.0,9.9,9.9,3.2,46.5,77.7
30,Jordan Clarkson,UTA,61,5.9,27.6,0.91,5.4,2.0,4.4,45.1,50.8,9.4,17.7,8.6,0.8,41.6,59.3
31,D'Angelo Russell,MIN,54,6.0,34.1,0.97,5.8,2.1,4.4,47.7,54.3,11.2,17.1,7.8,1.2,44.4,74.3
