,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Joel Embiid,PHI,47,6.7,23.0,1.18,8.0,2.8,5.0,55.3,58.1,20.3,9.8,19.9,4.4,56.6,58.3
1,Deandre Ayton,PHX,53,4.8,27.8,1.21,5.8,2.4,4.0,62.5,62.7,9.1,5.6,9.5,4.0,59.9,64.7
2,Nikola Vucevic,CHI,61,4.5,26.8,1.05,4.7,2.0,4.0,50.8,54.2,3.3,5.5,3.3,0.4,49.5,33.5
3,Bam Adebayo,MIA,56,4.5,21.7,1.11,5.0,2.3,4.0,54.8,54.8,12.3,5.6,12.3,1.6,56.0,43.8
4,Evan Mobley,CLE,62,3.4,21.6,1.13,3.8,1.9,3.0,59.3,61.1,16.3,11.5,15.8,5.3,55.5,50.5
5,Christian Wood,DAL,50,2.9,18.6,1.52,4.5,2.1,3.0,66.1,77.2,14.3,4.8,13.6,5.4,66.0,94.5
6,Anthony Davis,LAL,37,4.7,20.9,1.27,6.0,2.5,4.0,62.2,63.3,14.9,4.6,14.9,1.7,63.2,70.6
7,Alperen Sengun,HOU,55,3.3,22.4,1.13,3.8,1.8,3.0,55.4,57.1,16.4,7.7,14.8,4.9,55.2,47.7
8,Myles Turner,IND,52,3.3,21.5,1.19,3.9,1.7,3.0,51.1,57.6,16.2,6.4,15.6,2.9,54.3,58.7
9,Jarrett Allen,CLE,57,3.1,24.8,1.16,3.6,2.0,3.0,61.5,61.9,10.2,10.8,9.1,2.3,58.0,52.8
10,Nikola Jokic,DEN,54,2.6,12.6,1.42,3.8,1.3,2.0,69.4,74.2,9.8,6.3,9.8,2.8,65.7,90.8
11,Brook Lopez,MIL,59,2.6,19.6,1.25,3.3,0.9,2.0,53.9,62.8,7.8,3.3,7.8,3.3,54.2,69.7
12,Domantas Sabonis,SAC,58,2.5,14.6,1.31,3.3,1.3,2.0,64.7,66.4,18.8,4.2,18.1,5.6,64.6,78.7
13,Clint Capela,ATL,45,2.9,28.3,1.38,4.0,2.3,3.0,71.6,71.6,12.9,4.5,12.9,5.3,70.5,87.2
14,Kristaps Porzingis,WAS,51,2.9,14.5,1.13,3.3,0.7,2.0,43.8,52.5,18.0,4.0,16.7,2.7,50.0,49.5
15,Jonas Valanciunas,NOP,60,2.7,19.5,1.04,2.8,0.8,2.0,49.3,52.4,6.8,3.1,6.8,0.6,50.9,32.3
16,Lauri Markkanen,UTA,56,1.9,9.3,1.34,2.6,1.2,2.0,52.7,61.8,15.7,1.9,13.0,3.7,57.4,84.4
17,Ivica Zubac,LAC,59,2.0,20.6,1.24,2.5,0.5,1.0,66.7,66.7,20.5,11.1,19.7,3.4,64.1,68.8
18,Nic Claxton,BKN,56,2.0,19.4,1.27,2.6,1.6,2.0,72.9,72.9,21.2,8.8,21.2,6.2,68.1,71.6
19,Rudy Gobert,MIN,51,2.1,18.9,1.29,2.8,1.5,2.0,69.5,69.5,22.9,6.4,22.0,4.6,68.8,74.8
20,Naz Reid,MIN,55,2.3,22.5,1.13,2.5,1.0,2.0,51.8,59.1,6.5,6.5,6.5,1.6,50.8,47.2
21,Brandon Clarke,MEM,53,1.8,21.0,1.43,2.5,1.5,2.0,68.7,68.7,19.1,3.2,18.1,10.6,69.1,91.7
22,Thomas Bryant,LAL,41,2.4,25.8,1.35,3.2,1.3,2.0,65.9,67.7,16.5,4.1,16.5,5.2,64.9,84.9
23,Dwight Powell,DAL,57,1.5,27.6,1.48,2.3,0.7,1.0,76.9,76.9,25.3,5.7,25.3,5.7,74.7,92.7
24,P.J. Washington,CHA,60,1.6,10.7,1.29,2.1,0.4,1.0,55.7,63.1,11.1,2.0,9.1,2.0,58.6,74.3
25,Mason Plumlee,CHA,56,1.9,17.8,1.19,2.3,0.5,1.0,62.3,62.3,28.3,7.5,27.4,8.5,61.3,60.6
26,Onyeka Okongwu,ATL,59,1.7,21.3,1.23,2.1,0.5,1.0,63.1,63.1,13.9,7.9,12.9,5.0,61.4,67.0
27,Jakob Poeltl,SAS,46,2.4,20.2,1.12,2.7,1.2,2.0,61.1,61.1,12.8,9.2,12.8,4.6,56.0,46.3
28,Isaiah Stewart,DET,50,2.0,17.7,1.18,2.4,0.4,1.0,55.6,61.8,23.5,7.8,21.6,2.9,57.8,55.8
29,Wendell Carter Jr.,ORL,41,2.6,18.0,1.09,2.9,1.0,2.0,54.9,59.9,6.5,10.2,6.5,1.9,50.9,41.7
30,Daniel Gafford,WAS,58,1.5,23.1,1.33,2.0,0.7,1.0,72.1,72.1,19.3,8.0,19.3,4.5,65.9,80.3
31,Jusuf Nurkic,POR,45,2.1,15.2,1.15,2.4,1.3,2.0,56.3,59.2,24.5,12.8,24.5,12.8,54.3,51.8
32,John Collins,ATL,51,1.7,14.0,1.2,2.1,1.3,2.0,56.4,59.6,10.1,4.5,10.1,2.2,57.3,63.3
33,Julius Randle,NYK,62,1.4,6.0,1.18,1.7,0.4,1.0,48.0,59.3,11.2,5.6,9.0,1.1,50.6,56.9
34,Bobby Portis,MIL,49,1.8,13.0,1.18,2.1,1.2,2.0,51.9,63.0,4.5,8.0,4.5,1.1,48.9,57.6
35,Moritz Wagner,ORL,40,2.0,20.4,1.21,2.5,1.3,2.0,53.8,59.2,18.5,7.4,18.5,6.2,55.6,64.2
36,Zach Collins,SAS,50,1.8,17.5,1.08,1.9,1.2,2.0,51.2,56.7,7.8,5.6,7.8,4.4,50.0,39.4
37,Jayson Tatum,BOS,57,1.6,5.7,1.07,1.7,0.3,1.0,45.9,56.1,9.9,9.9,9.9,1.1,46.2,36.7
38,Giannis Antetokounmpo,MIL,48,1.8,6.1,1.08,2.0,0.3,1.0,51.5,56.1,21.6,4.5,21.6,3.4,52.3,39.9
39,Andre Drummond,CHI,48,1.7,27.1,1.13,2.0,0.6,1.0,69.5,69.5,15.7,16.9,15.7,3.6,57.8,48.6
40,Isaiah Jackson,IND,45,1.9,28.8,1.11,2.1,1.2,2.0,50.7,50.7,23.8,2.4,22.6,8.3,57.1,43.8
41,Jalen Duren,DET,52,1.3,17.2,1.27,1.7,0.7,1.0,67.9,67.9,17.4,7.2,15.9,5.8,65.2,72.0
42,Jalen Smith,IND,52,1.7,17.8,1.0,1.7,0.3,1.0,44.3,51.4,12.8,7.0,14.0,2.3,45.3,27.4
43,Walker Kessler,UTA,59,1.1,15.9,1.33,1.4,0.7,1.0,69.6,69.6,11.1,1.6,11.1,1.6,68.3,83.4
44,Mike Muscala,OKC,43,1.5,27.0,1.33,2.0,0.3,1.0,50.8,66.1,6.3,0.0,6.3,0.0,54.0,83.4
45,Kenyon Martin Jr.,HOU,60,1.2,11.7,1.14,1.4,0.6,1.0,58.9,59.8,17.6,12.2,16.2,5.4,54.1,50.9
