,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Jonas Valanciunas,NOP,67,2.4,17.7,1.21,2.9,1.2,2.0,60.7,60.7,10.7,6.3,10.7,1.9,60.4,67.2
1,Walker Kessler,UTA,66,2.1,30.1,1.22,2.5,1.1,1.7,64.0,64.0,18.8,5.1,17.4,6.5,63.8,69.1
2,Rudy Gobert,MIN,60,2.5,20.6,1.12,2.7,1.1,1.9,56.5,56.5,18.4,7.5,17.7,4.1,56.5,52.2
3,Clint Capela,ATL,54,2.9,29.1,1.02,3.0,1.3,2.6,51.1,51.1,9.4,3.8,9.4,1.9,51.6,35.6
4,Anthony Davis,LAL,45,2.8,12.4,1.23,3.5,1.3,2.2,59.4,59.4,19.5,6.3,18.8,4.7,60.9,72.1
5,Nikola Jokic,DEN,63,1.9,8.8,1.32,2.5,1.0,1.6,63.0,63.0,17.9,3.4,17.9,6.8,65.0,84.3
6,Ivica Zubac,LAC,65,2.3,23.5,1.04,2.4,1.0,1.8,54.2,54.2,14.8,8.7,13.4,2.7,53.7,38.5
7,Onyeka Okongwu,ATL,68,1.7,20.6,1.36,2.3,0.9,1.3,70.8,70.8,18.6,5.3,17.7,2.7,69.0,86.2
8,Daniel Gafford,WAS,69,1.5,22.8,1.46,2.2,1.0,1.3,76.1,76.1,17.3,6.7,16.3,8.7,72.1,94.2
9,Domantas Sabonis,SAC,68,1.9,10.8,1.18,2.2,0.9,1.5,55.8,55.8,18.1,4.7,18.1,4.7,58.3,62.8
10,Giannis Antetokounmpo,MIL,55,1.7,5.5,1.58,2.6,1.0,1.2,85.1,85.1,25.0,7.6,23.9,5.4,80.4,98.7
11,Jarrett Allen,CLE,62,1.9,15.6,1.24,2.3,1.0,1.5,67.0,67.0,17.9,6.0,17.1,1.7,65.8,73.4
12,Kevon Looney,GSW,72,1.5,25.6,1.29,2.0,0.9,1.3,67.0,67.0,9.0,4.5,9.0,0.9,66.7,79.2
13,Mitchell Robinson,NYK,50,2.7,43.6,1.04,2.8,1.2,2.2,55.5,55.5,13.9,7.3,13.9,1.5,53.3,37.5
14,Jalen Duren,DET,57,2.2,26.7,1.14,2.5,1.1,1.8,61.0,61.0,13.7,9.7,13.7,4.0,58.9,55.4
15,Deandre Ayton,PHX,61,1.9,11.3,1.21,2.3,1.0,1.5,62.4,62.9,15.7,7.0,15.7,4.3,60.0,67.6
