,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Julius Randle,NYK,74,6.0,24.6,1.06,6.4,2.2,5.3,40.5,54.2,6.3,6.3,6.3,1.8,40.3,59.9
1,Tim Hardaway Jr.,DAL,65,6.0,41.2,1.09,6.1,2.0,5.3,38.7,54.7,4.4,3.0,4.4,1.6,38.9,65.4
2,Jerami Grant,POR,63,6.0,30.7,1.08,6.2,2.0,5.1,39.0,54.5,6.6,5.8,6.4,1.9,39.6,64.3
3,Buddy Hield,IND,73,4.0,28.3,1.22,5.3,1.8,4.1,45.3,63.8,1.6,5.6,1.6,0.3,43.4,88.7
4,Kyle Kuzma,WAS,64,6.0,27.2,0.98,6.0,2.1,5.5,37.9,50.9,3.8,6.7,3.8,0.5,37.4,42.7
5,P.J. Washington,CHA,68,6.0,38.8,0.93,5.6,2.0,5.4,38.0,48.5,4.4,6.9,4.7,1.2,36.8,30.3
6,Trey Murphy III,NOP,69,5.0,43.8,1.1,5.4,1.8,4.5,40.1,55.1,4.5,2.7,4.2,0.3,41.5,69.1
7,RJ Barrett,NYK,67,6.0,28.6,0.93,5.5,1.9,5.2,35.4,46.3,8.6,5.1,8.1,2.0,37.9,31.4
8,Max Strus,MIA,72,4.0,38.3,1.17,5.1,1.7,4.1,41.1,59.1,3.5,4.7,3.5,0.6,40.8,81.7
9,Lauri Markkanen,UTA,64,4.0,20.8,1.27,5.7,1.9,4.1,46.4,64.6,4.9,4.5,4.2,0.3,46.7,93.2
10,Michael Porter Jr.,DEN,56,5.0,34.4,1.27,6.5,2.3,4.8,48.3,65.4,3.1,3.8,3.1,0.7,47.6,92.4
11,Keldon Johnson,SAS,60,6.0,27.3,1.01,6.0,2.0,5.2,38.5,49.5,10.1,5.6,10.1,3.4,39.9,49.2
12,Gary Trent Jr.,TOR,63,5.0,29.4,1.16,5.6,2.0,4.6,42.9,57.8,4.2,2.9,3.9,1.6,43.1,80.6
13,Jaden McDaniels,MIN,71,5.0,44.5,0.98,4.9,1.8,4.3,42.4,54.0,5.3,11.8,5.0,1.7,39.2,43.4
14,Harrison Barnes,SAC,72,4.0,33.7,1.11,4.8,1.4,3.6,39.5,52.1,15.6,3.8,15.6,1.9,45.9,71.2
15,Jaylen Brown,BOS,61,6.0,21.7,1.03,5.7,2.1,4.7,43.9,53.7,9.8,8.9,9.2,3.9,42.7,55.3
16,Marcus Morris Sr.,LAC,63,5.0,41.7,1.13,5.4,1.9,4.5,42.0,56.2,4.3,2.0,4.0,0.7,43.3,75.8
17,Luguentz Dort,OKC,65,5.0,37.5,0.95,5.2,1.7,4.7,36.3,48.8,7.9,7.6,7.3,0.8,38.0,37.0
18,Zach LaVine,CHI,68,4.0,17.2,1.24,4.9,1.7,3.3,51.1,65.3,9.6,8.9,9.6,1.9,50.4,91.1
19,Jayson Tatum,BOS,68,4.0,14.8,1.19,4.9,1.5,3.5,44.3,58.9,10.4,6.5,10.4,1.8,46.0,85.6
20,Patrick Williams,CHI,72,4.0,44.7,1.01,4.5,1.6,4.0,40.1,54.2,2.5,8.4,2.5,0.0,38.2,50.5
21,Derrick White,BOS,73,4.0,35.9,1.12,4.4,1.5,3.8,40.2,55.3,4.1,2.1,4.5,1.7,40.7,71.9
22,Reggie Bullock,DAL,70,4.0,64.2,1.08,4.6,1.6,4.1,37.7,55.5,0.7,3.3,0.7,0.3,36.7,63.8
23,Kristaps Porzingis,WAS,62,5.0,23.2,1.09,5.2,1.7,4.2,41.7,53.9,8.8,5.8,7.8,2.4,43.1,66.4
