,PLAYER,TEAM,GP,Poss,Freq%,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq%,TOV Freq%,SF Freq%,And One Freq%,Score Freq%,Percentile
0,Giannis Antetokounmpo,MIL,52,8.2,27.2,1.15,9.4,3.1,5.3,58.5,60.0,32.7,10.4,31.1,8.0,59.5,53.3
1,Shai Gilgeous-Alexander,OKC,57,6.1,21.8,1.26,7.6,2.4,4.3,56.6,60.0,24.9,8.4,22.6,4.0,60.6,76.3
2,LeBron James,LAL,47,7.1,25.2,1.2,8.5,3.1,5.0,62.0,65.0,21.0,13.2,19.8,5.0,59.2,65.6
3,Jaylen Brown,BOS,56,5.6,21.8,1.25,7.0,2.7,4.3,62.0,67.0,15.8,10.3,15.1,4.0,59.5,75.4
4,De'Aaron Fox,SAC,59,5.6,23.6,1.17,6.6,2.5,4.2,59.3,62.0,19.6,11.2,18.4,5.0,56.8,61.7
5,Anthony Edwards,MIN,68,5.3,21.3,1.04,5.5,2.0,3.7,52.8,58.0,18.0,18.0,17.5,6.0,48.2,32.6
6,Buddy Hield,IND,68,4.0,25.6,1.28,5.1,1.9,3.6,52.0,68.0,2.6,7.7,2.2,0.0,49.1,78.8
7,Zach LaVine,CHI,63,4.5,19.4,1.2,5.3,1.8,3.2,55.9,61.0,19.9,10.0,19.6,3.0,56.9,66.1
8,Ja Morant,MEM,53,5.5,20.0,1.13,6.3,2.3,3.9,59.3,63.0,17.7,15.3,15.6,4.0,55.1,50.8
9,Jordan Poole,GSW,68,4.2,19.8,1.16,4.9,1.7,3.1,55.5,62.0,16.0,13.9,13.2,3.0,53.7,56.3
10,Jayson Tatum,BOS,63,4.2,15.0,1.25,5.2,1.8,3.1,58.0,64.0,20.2,11.0,19.8,5.0,58.2,75.6
11,Bennedict Mathurin,IND,67,4.0,24.5,1.2,4.9,1.5,2.8,54.3,61.0,24.7,10.7,24.0,4.0,57.2,66.7
12,Trae Young,ATL,61,5.2,19.1,1.01,5.3,1.6,3.6,45.2,51.0,19.2,13.8,14.5,3.0,47.5,27.1
13,Donovan Mitchell,CLE,59,4.3,17.1,1.19,5.1,1.9,3.4,56.2,64.0,11.5,11.9,9.1,4.0,52.4,64.0
14,Terry Rozier,CHA,60,4.5,20.3,1.05,4.8,1.8,3.7,48.7,55.0,12.1,9.2,11.4,4.0,48.2,33.7
15,Kyle Kuzma,WAS,62,4.3,19.0,1.07,4.6,1.9,3.3,56.4,62.0,9.4,15.8,9.4,2.0,49.1,37.4
16,Desmond Bane,MEM,44,5.4,27.5,1.19,6.4,2.3,4.6,49.5,61.0,10.2,7.6,9.3,4.0,48.7,63.8
17,Pascal Siakam,TOR,58,3.9,16.3,1.2,4.7,1.7,2.7,60.4,64.0,22.3,13.1,21.0,5.0,59.0,66.3
18,RJ Barrett,NYK,63,4.2,20.0,1.03,4.3,1.6,3.1,51.0,55.0,17.0,9.5,17.4,2.0,51.1,30.1
19,Trey Murphy III,NOP,65,2.9,26.4,1.45,4.2,1.6,2.5,63.2,75.0,9.0,6.4,8.5,2.0,61.7,92.5
20,O.G. Anunoby,TOR,54,4.1,24.8,1.22,5.1,1.9,3.3,58.7,65.0,12.1,11.2,11.2,3.0,55.4,70.0
21,Lauri Markkanen,UTA,61,3.4,15.8,1.29,4.3,1.6,2.6,59.4,66.0,16.1,9.8,14.6,4.0,58.0,80.2
22,Gary Trent Jr.,TOR,59,3.9,23.5,1.13,4.4,1.5,3.4,45.2,54.0,12.1,3.0,10.8,1.0,49.8,51.0
23,Jerami Grant,POR,63,3.1,16.4,1.35,4.1,1.5,2.3,62.8,70.0,19.2,7.3,20.2,5.0,62.7,85.6
24,Keldon Johnson,SAS,57,3.9,18.1,1.14,4.5,1.7,3.3,53.2,59.0,14.9,8.1,14.0,7.0,51.8,52.6
