,Player,Team,Age,Restricted Area_FGM,Restricted Area_FGA,Restricted Area_FG%,In The Paint (Non-RA)_FGM,In The Paint (Non-RA)_FGA,In The Paint (Non-RA)_FG%,Mid-Range_FGM,Mid-Range_FGA,Mid-Range_FG%,Left Corner 3._FGM,Left Corner 3._FGA,Left Corner 3._FG%,Right Corner 3._FGM,Right Corner 3._FGA,Right Corner 3._FG%,Corner 3_FGM,Corner 3_FGA,Corner 3_FG%,Above the Break 3._FGM,Above the Break 3._FGA,Above the Break 3._FG%
0,A.J. Lawson,DAL,22,2.7,3.2,85.7,0.9,1.8,50.0,0.9,1.7,53.3,0.2,0.8,20.0,0.2,0.2,100,0.3,0.8,33.3,0.8,2.5,33.3
1,AJ Green,MIL,23,3.6,5.5,66.1,2.1,4.5,46.4,0.9,2.2,40.3,0.2,1.0,22.7,0.3,0.9,31.6,0.5,1.7,26.8,2.1,5.9,34.7
2,AJ Griffin,ATL,19,7.7,12.1,63.7,2.5,6.0,41.9,1.8,4.1,43.4,0.9,2.1,43.4,0.7,1.9,40.0,1.6,3.8,41.9,3.2,9.9,32.2
3,Aaron Gordon,DEN,27,11.4,16.3,70.3,4.9,11.5,42.3,2.8,6.5,42.5,1.2,3.3,35.9,1.0,2.5,39.0,2.1,5.7,37.2,5.0,14.8,34.1
4,Aaron Holiday,ATL,26,6.1,8.9,68.0,1.5,4.1,36.1,0.9,2.5,37.4,0.8,1.5,50.0,0.6,1.4,40.0,1.2,2.6,45.1,2.2,6.7,33.1
5,Aaron Nesmith,IND,23,9.6,14.9,64.4,4.0,8.4,47.2,2.3,5.4,42.2,1.1,2.7,39.6,1.1,2.4,48.1,2.2,5.0,43.5,4.6,12.1,37.7
6,Aaron Wiggins,OKC,24,6.9,10.5,65.8,2.7,6.4,42.3,1.4,3.3,41.3,1.0,2.3,41.6,0.7,2.2,31.5,1.5,4.2,36.7,3.6,9.5,37.6
7,Admiral Schofield,ORL,26,4.0,5.6,70.6,1.4,3.2,43.0,0.8,2.3,35.7,0.4,1.0,38.5,0.9,1.7,53.5,1.2,2.6,47.8,2.5,7.1,35.3
8,Al Horford,BOS,36,10.5,15.3,68.9,5.1,12.3,41.8,3.6,8.0,45.1,0.7,2.0,34.7,0.7,2.2,33.9,1.4,4.0,34.3,6.0,17.4,34.7
9,Alec Burks,DET,31,8.6,12.6,68.5,3.7,8.3,44.9,1.8,4.0,45.5,0.9,2.2,40.2,0.7,1.8,40.7,1.6,3.9,40.4,3.6,11.2,32.6
10,Aleksej Pokusevski,OKC,21,8.0,12.7,63.3,3.1,7.1,43.6,1.6,3.8,41.9,1.1,2.5,43.5,1.0,2.8,36.5,2.0,5.0,40.0,4.4,10.7,40.8
11,Alex Caruso,CHI,29,7.7,11.7,65.4,2.6,6.3,40.6,2.1,5.0,41.9,0.9,2.3,39.9,0.8,2.3,34.1,1.7,4.5,37.1,4.8,13.5,35.6
12,Alex Len,SAC,29,1.7,2.7,61.5,0.3,1.3,26.1,0.4,1.5,25.0,0.3,0.6,50.0,0.5,1.0,50.0,0.5,1.1,50.0,1.1,3.1,36.2
13,Alize Johnson,SAS,26,2.3,5.5,40.9,0.8,2.8,27.3,0.3,1.3,25.0,1.0,1.0,100,0.3,1.7,20.0,0.7,2.0,33.3,1.8,3.8,46.7
14,Alondes Williams,BKN,23,3.0,5.0,60.0,2.0,2.0,100,0.0,0.0,0.0,0.0,1.0,0.0,-,-,-,0.0,1.0,0.0,1.0,2.0,50.0
15,Alperen Sengun,HOU,20,10.1,14.6,69.0,4.5,9.6,47.3,2.2,5.5,39.4,1.2,2.7,43.8,0.9,2.6,34.2,2.0,5.2,39.0,7.0,17.6,40.0
16,Amir Coffey,LAC,25,5.3,8.3,64.2,2.1,5.2,40.3,1.2,2.4,49.5,0.6,1.6,34.6,0.6,1.8,31.6,0.9,2.9,33.0,2.7,7.2,37.1
17,Andre Drummond,CHI,29,4.3,6.7,63.9,1.7,3.7,45.5,0.9,2.4,38.6,0.5,1.7,28.7,0.4,1.2,30.9,0.8,2.7,29.6,2.7,7.3,36.2
18,Andre Iguodala,GSW,39,3.1,5.1,61.0,4.4,7.8,56.5,2.0,5.1,39.0,0.6,1.1,55.6,0.0,1.0,0.0,0.6,1.8,35.7,2.3,7.1,31.6
19,Andrew Nembhard,IND,23,10.5,16.9,62.6,4.7,9.6,48.5,2.4,5.8,41.6,1.1,3.0,35.2,1.0,2.4,41.3,2.0,5.3,37.8,5.1,13.2,38.4
20,Andrew Wiggins,GSW,28,9.1,13.1,69.4,7.4,15.9,46.1,3.4,8.1,41.3,1.2,3.2,38.5,0.9,2.5,36.2,2.1,5.7,37.4,6.0,16.9,35.4
