,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
0,Luka Doncic,DAL,24,53,53,53.5,4.7,11.9,39.9,49.8,22.8,2.4,5.1,47.4,30.7,2.3,6.8,34.4
1,Devin Booker,PHX,26,35,34,57.4,4.9,11.5,42.8,48.5,37.2,3.6,7.5,48.5,20.2,1.3,4.1,32.3
2,Trae Young,ATL,24,55,55,53.1,4.0,10.6,37.6,45.5,26.6,2.3,5.3,43.3,26.4,1.7,5.3,31.8
3,DeMar DeRozan,CHI,33,55,55,58.3,5.0,10.4,48.0,48.4,56.8,4.9,10.1,48.3,1.4,0.1,0.3,36.0
4,Kevin Durant,PHX,34,39,39,55.1,5.6,10.3,54.7,59.0,42.8,4.8,8.0,59.6,12.3,0.9,2.3,37.7
5,Damian Lillard,POR,32,48,48,47.1,4.0,9.7,41.2,55.5,11.8,1.2,2.4,50.4,35.3,2.8,7.3,38.1
6,Donovan Mitchell,CLE,26,53,53,48.5,4.2,9.6,43.4,55.5,19.1,1.9,3.8,48.8,29.3,2.3,5.8,39.9
7,Brandon Ingram,NOP,25,27,27,53.8,4.0,9.6,42.1,44.4,47.6,3.6,8.5,42.3,6.2,0.4,1.1,39.6
8,Kyrie Irving,DAL,30,47,47,47.5,4.4,9.6,46.2,55.2,24.7,2.7,5.0,54.2,22.8,1.7,4.6,37.4
9,Shai Gilgeous-Alexander,OKC,24,54,54,45.3,4.2,9.2,46.4,49.7,36.5,3.6,7.4,49.3,8.8,0.6,1.8,34.3
10,Stephen Curry,GSW,34,37,37,45.1,4.1,9.0,45.9,62.0,14.5,1.2,2.9,42.9,30.6,2.9,6.1,47.3
11,De'Aaron Fox,SAC,25,55,55,48.9,3.8,8.9,42.3,46.6,35.3,3.0,6.5,46.5,13.6,0.8,2.5,31.3
