,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
0,A.J. Lawson,DAL,22,0.8,1.1,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.3,21.4,0.5,0.7,75.0
1,AJ Green,MIL,23,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.1,33.3,0.1,0.3,50.0,0.4,1.1,40.0,0.9,2.1,41.9
2,AJ Griffin,ATL,19,0.7,1.1,61.5,0.5,0.9,53.3,0.7,1.2,54.7,0.2,0.5,44.4,0.7,1.6,40.9,0.7,2.0,36.8
3,Aaron Gordon,DEN,27,4.8,6.7,71.3,0.3,0.8,34.5,0.2,0.6,34.1,0.1,0.5,27.3,0.3,1.0,30.0,0.6,1.4,40.2
4,Aaron Holiday,ATL,26,0.5,1.0,52.5,0.1,0.4,21.7,0.2,0.5,34.6,0.1,0.2,45.5,0.2,0.5,42.4,0.4,0.9,43.4
5,Aaron Nesmith,IND,23,1.4,2.5,55.2,0.2,0.6,29.3,0.3,0.5,50.0,0.0,0.2,27.3,0.8,2.3,36.3,0.7,2.0,36.3
6,Aaron Wiggins,OKC,24,1.7,2.8,61.8,0.2,0.6,36.6,0.0,0.1,40.0,0.0,0.0,0.0,0.3,1.0,32.4,0.3,0.7,47.1
7,Admiral Schofield,ORL,26,0.7,1.0,70.3,0.1,0.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,37.9,0.4,1.1,33.3
8,Al Horford,BOS,36,0.9,1.3,65.9,0.3,0.7,48.8,0.1,0.2,26.7,0.0,0.2,27.3,1.2,2.5,46.2,1.1,2.7,42.6
9,Alec Burks,DET,31,0.6,1.2,55.9,0.4,0.9,41.7,0.5,1.0,47.1,0.4,0.9,42.6,0.9,2.0,44.6,1.1,2.9,38.7
10,Aleksej Pokusevski,OKC,21,1.7,2.9,59.2,0.2,0.8,21.4,0.1,0.3,30.0,0.1,0.2,42.9,0.4,1.2,31.7,0.7,1.9,38.5
11,Alex Caruso,CHI,29,1.0,1.5,66.0,0.0,0.3,11.8,0.1,0.2,36.4,0.0,0.1,37.5,0.6,1.4,44.0,0.2,0.9,27.1
12,Alex Len,SAC,29,0.6,0.9,66.7,0.0,0.1,0.0,0.1,0.2,66.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alize Johnson,SAS,26,0.8,1.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,20,4.1,6.5,63.8,1.2,2.7,44.7,0.3,0.5,48.7,0.1,0.2,33.3,0.0,0.1,27.3,0.2,0.6,35.6
16,Amir Coffey,LAC,25,0.6,1.1,55.1,0.2,0.7,27.6,0.2,0.4,43.8,0.1,0.3,30.0,0.1,0.6,24.0,0.1,0.3,33.3
17,Andre Drummond,CHI,29,2.3,3.5,65.1,0.2,0.4,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Andre Iguodala,GSW,39,0.6,0.6,100.0,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.9,14.3
19,Andrew Nembhard,IND,23,1.2,1.9,64.5,0.5,1.1,45.1,0.5,1.3,37.6,0.2,0.6,35.6,0.5,1.4,36.5,0.8,2.1,35.8
20,Andrew Wiggins,GSW,28,2.4,3.4,69.3,1.0,2.3,42.4,0.4,0.9,37.1,0.5,1.2,40.0,0.8,2.2,37.3,1.7,4.2,41.6
21,Anfernee Simons,POR,23,2.2,3.5,61.9,0.5,1.4,38.8,0.7,1.3,54.4,0.6,1.3,48.7,0.8,2.2,38.8,2.5,6.9,36.4
22,Anthony Davis,LAL,30,6.1,8.5,71.3,1.5,3.1,50.0,0.9,2.0,44.0,0.7,1.8,38.0,0.3,0.8,38.6,0.3,1.1,25.9
23,Anthony Edwards,MIN,21,4.4,7.2,61.0,0.6,1.5,39.3,0.4,1.2,34.8,0.6,1.5,39.8,1.1,3.1,37.0,1.8,4.8,36.9
24,Anthony Gill,WAS,30,0.9,1.2,76.8,0.1,0.4,38.1,0.1,0.1,42.9,0.0,0.0,0.0,0.1,0.4,15.8,0.0,0.1,12.5
25,Anthony Lamb,GSW,25,0.9,1.2,77.0,0.2,0.5,43.3,0.0,0.0,0.0,0.0,0.1,40.0,0.5,1.5,35.2,0.7,1.8,38.7
26,Austin Reaves,LAL,24,1.5,2.1,74.6,0.5,0.9,56.4,0.5,0.9,55.2,0.2,0.4,46.2,0.6,1.3,42.2,0.8,2.0,39.2
27,Austin Rivers,MIN,30,0.7,1.2,60.3,0.2,0.4,47.4,0.0,0.1,25.0,0.0,0.0,0.0,0.8,1.9,39.8,0.1,0.5,16.7
28,Ayo Dosunmu,CHI,23,2.2,3.4,64.8,0.2,0.5,41.5,0.2,0.4,51.4,0.1,0.3,34.6,0.4,1.4,29.1,0.3,1.0,33.3
29,Bam Adebayo,MIA,25,4.0,6.1,65.6,1.9,4.0,46.8,1.7,3.5,48.9,0.4,1.1,39.2,0.0,0.1,37.5,0.0,0.1,14.3
30,Ben Simmons,BKN,26,2.1,3.2,66.2,0.8,1.8,44.6,0.2,0.5,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Bennedict Mathurin,IND,20,2.9,5.1,55.9,0.6,1.6,39.2,0.3,0.8,33.9,0.2,0.4,41.9,0.5,1.4,33.6,0.8,2.7,31.6
32,Bismack Biyombo,PHX,30,1.4,2.0,69.6,0.4,1.0,38.7,0.1,0.3,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
