,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
0,LeBron James,LAL,38,47,47,100,11.3,22.5,50.2,55.0,69.3,9.2,15.6,58.8,30.7,2.1,6.9,30.8
1,Luka Doncic,DAL,24,58,58,100,11.0,22.1,49.8,56.1,63.9,8.3,14.2,58.5,36.1,2.8,8.0,34.6
2,Jayson Tatum,BOS,25,68,68,100,9.8,21.3,45.9,53.5,55.9,6.5,11.9,54.9,44.1,3.2,9.4,34.5
3,Damian Lillard,POR,32,58,58,100,9.6,20.7,46.3,56.4,45.3,5.4,9.4,57.4,54.7,4.2,11.3,37.1
4,Devin Booker,PHX,26,45,45,100,10.3,20.6,49.9,55.3,70.7,8.1,14.6,55.4,29.3,2.2,6.0,36.8
5,Ja Morant,MEM,23,54,54,100,9.5,20.5,46.3,50.2,75.5,7.9,15.5,51.2,24.5,1.6,5.0,31.3
6,Giannis Antetokounmpo,MIL,28,57,57,100,11.2,20.5,54.6,56.6,86.3,10.4,17.6,58.8,13.7,0.8,2.8,28.8
7,Shai Gilgeous-Alexander,OKC,24,61,61,100,10.4,20.4,51.0,53.1,87.8,9.6,17.9,53.3,12.2,0.9,2.5,34.9
8,Jaylen Brown,BOS,26,61,61,100,10.0,20.4,49.2,55.4,64.0,7.5,13.1,57.5,36.0,2.5,7.3,34.3
9,Kyrie Irving,DAL,30,53,53,100,10.0,20.3,49.2,57.2,57.9,6.7,11.8,57.3,42.1,3.3,8.6,38.1
10,Donovan Mitchell,CLE,26,62,62,100,9.7,20.3,47.7,56.4,54.1,6.2,11.0,56.1,45.9,3.5,9.3,37.9
11,Stephen Curry,GSW,35,47,47,100,10.1,20.3,49.8,62.1,43.1,5.1,8.7,58.6,56.9,5.0,11.5,43.2
12,Joel Embiid,PHI,29,59,59,100,11.1,20.2,54.7,57.2,85.2,10.0,17.2,58.1,14.8,1.0,3.0,34.6
13,LaMelo Ball,CHA,21,36,36,100,8.2,20.0,41.1,51.0,46.9,4.2,9.4,44.9,53.1,4.0,10.6,37.6
14,Trae Young,ATL,24,66,66,100,8.4,19.6,43.3,49.0,66.6,6.2,13.0,47.8,33.4,2.2,6.5,34.2
15,Anthony Edwards,MIN,21,71,71,100,9.0,19.4,46.1,53.0,62.3,6.2,12.1,51.5,37.7,2.7,7.3,37.1
16,Terry Rozier,CHA,29,62,62,100,7.9,18.9,41.6,48.5,57.8,5.3,10.9,48.1,42.2,2.6,8.0,32.6
17,Julius Randle,NYK,28,74,74,100,8.7,18.7,46.1,53.8,55.5,5.8,10.4,55.4,44.5,2.9,8.3,34.5
18,Cade Cunningham,DET,21,12,12,100,7.8,18.7,41.5,45.3,72.8,6.3,13.6,46.6,27.2,1.4,5.1,28.0
19,Pascal Siakam,TOR,28,63,63,100,8.8,18.6,47.4,51.0,78.0,7.4,14.5,51.3,22.0,1.4,4.1,33.6
20,Kevin Durant,PHX,34,42,42,100,10.4,18.4,56.5,61.5,74.1,8.6,13.6,62.9,25.9,1.8,4.8,38.4
21,De'Aaron Fox,SAC,25,65,65,100,9.4,18.3,51.6,56.3,72.9,7.8,13.3,58.1,27.1,1.7,5.0,34.1
22,Klay Thompson,GSW,33,61,61,100,7.9,18.3,43.4,55.1,42.1,3.7,7.7,47.6,57.9,4.3,10.6,40.3
23,Zach LaVine,CHI,28,67,67,100,8.7,18.1,47.9,55.5,59.9,5.9,10.8,54.5,40.1,2.8,7.3,38.1
24,Dejounte Murray,ATL,26,66,65,100,8.3,18.0,46.0,51.3,69.9,6.4,12.6,50.6,30.1,1.9,5.4,35.2
25,CJ McCollum,NOP,31,65,65,100,7.8,18.0,43.5,51.3,59.5,5.0,10.7,47.1,40.5,2.8,7.3,38.4
26,Jalen Green,HOU,21,67,67,100,7.4,18.0,41.4,48.4,58.5,4.9,10.5,46.7,41.5,2.5,7.5,33.8
27,Paul George,LAC,32,56,56,100,8.2,17.9,45.7,53.6,57.6,5.4,10.3,52.1,42.4,2.8,7.6,37.1
28,Brandon Ingram,NOP,25,35,35,100,8.5,17.9,47.7,52.1,78.1,7.0,14.0,49.8,21.9,1.6,3.9,40.2
29,Kyle Kuzma,WAS,27,64,64,100,8.0,17.8,44.8,51.8,57.9,5.5,10.3,53.2,42.1,2.5,7.5,33.2
30,DeMar DeRozan,CHI,33,65,65,100,9.1,17.8,50.9,52.6,89.9,8.4,16.0,52.9,10.1,0.6,1.8,33.3
