,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,13,4.8,5,8,0.1,0.0,0.6,0.4,0.4,100.0
1,AJ Green,MIL,34,9.7,27,7,0.2,0.0,1.1,0.7,0.9,78.1
2,AJ Griffin,ATL,71,19.3,34,37,0.6,0.2,1.6,1.5,2.0,75.4
3,Aaron Gordon,DEN,67,30.2,45,22,0.8,0.8,4.2,1.9,3.1,60.2
4,Aaron Holiday,ATL,61,13.3,32,29,0.6,0.2,0.8,0.8,1.0,79.7
5,Aaron Nesmith,IND,71,25.0,29,42,0.8,0.4,2.9,2.0,3.0,65.9
6,Aaron Wiggins,OKC,68,18.5,35,33,0.5,0.2,2.0,1.4,2.4,58.6
7,Admiral Schofield,ORL,34,11.5,14,20,0.2,0.1,1.1,1.0,1.4,74.5
8,Al Horford,BOS,62,30.5,43,19,0.5,0.9,5.0,2.8,4.7,59.1
9,Alec Burks,DET,50,22.0,12,38,0.8,0.2,2.8,1.8,2.5,71.5
10,Aleksej Pokusevski,OKC,34,20.6,16,18,0.6,1.3,3.4,3.3,5.4,61.2
11,Alex Caruso,CHI,64,23.7,30,34,1.5,0.6,2.4,1.3,2.0,62.8
12,Alex Len,SAC,24,5.5,15,9,0.1,0.3,1.3,0.4,0.9,45.5
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,73,29.0,16,57,0.9,0.9,5.6,4.0,6.2,63.7
16,Amir Coffey,LAC,49,12.7,25,24,0.1,0.1,0.7,0.6,0.8,70.0
17,Andre Drummond,CHI,66,12.7,31,35,0.7,0.4,4.6,1.4,2.3,60.5
18,Andre Iguodala,GSW,7,13.5,2,5,0.4,0.3,1.4,1.6,2.0,78.6
19,Andrew Nembhard,IND,73,27.5,31,42,0.9,0.2,2.2,1.4,2.1,67.3
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,62,35.0,27,35,0.7,0.2,2.3,2.3,3.1,74.5
22,Anthony Davis,LAL,54,34.0,29,25,1.0,2.0,8.9,4.0,6.9,57.1
23,Anthony Edwards,MIN,77,36.1,38,39,1.5,0.7,5.2,2.1,2.9,70.9
24,Anthony Gill,WAS,57,10.3,20,37,0.1,0.2,1.0,0.6,1.0,61.0
25,Anthony Lamb,GSW,59,19.6,33,26,0.5,0.3,2.6,2.3,3.5,67.3
26,Austin Reaves,LAL,62,28.7,33,29,0.5,0.3,2.5,1.8,2.3,77.8
27,Austin Rivers,MIN,52,19.5,25,27,0.5,0.1,1.5,0.8,1.0,76.9
28,Ayo Dosunmu,CHI,77,26.1,37,40,0.8,0.3,2.1,1.4,2.3,62.6
29,Bam Adebayo,MIA,73,35.2,38,35,1.2,0.8,6.8,2.7,4.2,64.7
30,Ben Simmons,BKN,42,26.3,24,18,1.3,0.6,5.3,1.7,3.0,57.5
31,Bennedict Mathurin,IND,76,28.2,32,44,0.6,0.2,3.0,1.9,2.7,68.9
32,Bismack Biyombo,PHX,59,14.4,32,27,0.3,1.4,2.8,1.7,3.6,47.2
33,Blake Griffin,BOS,39,14.0,25,14,0.3,0.2,2.7,1.3,1.9,67.6
34,Blake Wesley,SAS,33,17.5,7,26,0.7,0.1,1.7,0.7,1.0,71.9
35,Boban Marjanovic,HOU,29,5.2,5,24,0.1,0.0,1.2,0.4,0.6,72.2
36,Bobby Portis,MIL,69,26.1,47,22,0.4,0.2,7.4,2.3,3.4,67.2
37,Bogdan Bogdanovic,ATL,53,28.1,27,26,0.8,0.3,2.6,1.9,2.6,73.9
38,Bojan Bogdanovic,DET,58,32.0,15,43,0.6,0.1,3.2,1.9,2.6,76.4
39,Bol Bol,ORL,67,21.4,26,41,0.4,1.2,4.8,1.9,2.8,67.0
40,Bones Hyland,LAC,54,19.4,34,20,0.7,0.3,1.9,1.5,1.9,81.2
41,Bradley Beal,WAS,50,33.5,24,26,0.9,0.7,3.1,1.4,2.0,69.3
42,Brandon Boston Jr.,LAC,21,11.7,8,13,0.4,0.0,1.0,0.9,1.2,69.2
43,Brandon Clarke,MEM,56,19.5,32,24,0.6,0.7,3.9,1.8,3.1,57.0
44,Brandon Ingram,NOP,43,33.9,22,21,0.7,0.4,4.8,1.6,2.4,66.3
45,Braxton Key,DET,3,3.0,0,3,0.0,0.0,0.3,0.0,0.0,0.0
46,Brook Lopez,MIL,78,30.4,57,21,0.5,2.5,4.7,3.9,7.9,50.2
47,Bruce Brown,DEN,78,28.3,52,26,1.1,0.7,3.3,1.9,2.8,67.6
48,Bruno Fernando,ATL,38,10.1,13,25,0.2,0.9,2.0,1.3,2.2,56.5
49,Bryce McGowens,CHA,44,16.4,15,29,0.3,0.1,1.5,0.8,1.2,70.6
50,Bryn Forbes,MIN,25,10.7,9,16,0.3,0.1,0.4,0.3,0.5,66.7
51,Buddy Boeheim,DET,8,9.2,1,7,0.3,0.0,0.4,1.1,1.1,100.0
52,Buddy Hield,IND,78,31.2,34,44,1.2,0.3,4.1,2.6,3.7,70.7
53,CJ McCollum,NOP,73,35.2,37,36,0.9,0.5,3.6,2.2,2.8,80.0
54,Cade Cunningham,DET,12,33.3,3,9,0.8,0.6,5.2,2.8,4.1,69.4
55,Caleb Houstan,ORL,48,15.0,20,28,0.2,0.1,1.3,0.9,1.3,68.3
56,Caleb Martin,MIA,68,29.6,36,32,1.0,0.5,3.6,2.4,3.6,67.9
57,Cam Reddish,POR,40,24.7,14,26,1.0,0.4,1.8,1.7,2.5,66.0
58,Cam Thomas,BKN,56,16.2,30,26,0.3,0.1,1.5,1.0,1.4,71.1
59,Cameron Johnson,BKN,41,28.5,24,17,1.1,0.3,3.6,1.8,2.5,69.9
60,Cameron Payne,PHX,46,20.6,26,20,0.7,0.2,2.0,0.8,1.1,76.5
61,Caris LeVert,CLE,74,30.2,45,29,1.0,0.3,3.1,1.6,2.2,69.7
62,Carlik Jones,CHI,4,6.9,1,3,0.0,0.0,0.5,0.0,0.0,0.0
63,Cedi Osman,CLE,75,20.1,47,28,0.5,0.1,1.9,0.8,1.1,70.7
64,Charles Bassey,SAS,35,14.5,9,26,0.5,0.9,3.4,2.1,3.4,61.9
65,Chima Moneke,SAC,2,4.0,1,1,0.0,0.0,0.0,0.5,0.5,100.0
66,Chimezie Metu,SAC,64,10.3,41,23,0.3,0.3,2.2,1.3,2.3,57.4
67,Chris Boucher,TOR,74,20.1,38,36,0.6,0.8,3.5,1.4,2.3,62.9
68,Chris Duarte,IND,46,19.5,19,27,0.5,0.2,2.1,1.7,2.2,76.0
69,Chris Paul,PHX,58,31.9,32,26,1.6,0.4,3.8,1.6,2.1,76.4
70,Chris Silva,DAL,1,3.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
71,Christian Braun,DEN,73,15.1,48,25,0.5,0.2,1.7,0.8,1.2,66.7
72,Christian Koloko,TOR,56,13.8,28,28,0.3,1.0,1.5,1.7,3.1,55.2
73,Christian Wood,DAL,67,25.9,33,34,0.4,1.1,6.0,3.0,5.1,60.0
74,Chuma Okeke,ORL,24,17.8,8,16,0.5,0.4,2.5,1.8,2.5,72.1
75,Clint Capela,ATL,64,26.5,35,29,0.7,1.2,7.1,3.7,6.1,60.1
76,Coby White,CHI,71,23.3,34,37,0.7,0.1,2.6,1.4,1.9,71.3
77,Cody Martin,CHA,7,19.1,2,5,0.6,0.1,2.3,1.1,1.3,88.9
78,Cody Zeller,MIA,13,14.1,5,8,0.2,0.3,2.5,1.7,2.8,61.1
