,PLAYER,TEAM,GP,W,L,MIN,Touches,Elbow Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,29,23,6,9.8,12.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,66.7,0.0,50.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,58,27,31,20.2,21.7,0.5,0.2,0.3,73.3,0.0,0.0,0.0,0.4,85.2,0.2,33.3,0.0,22.2,0.0,3.7,0.0,0.0
3,Aaron Gordon,DEN,51,37,14,30.1,42.5,1.8,0.3,0.5,57.7,0.3,0.4,65.0,0.9,47.9,1.1,57.4,0.2,18.5,0.1,3.2,0.2,9.6
4,Aaron Holiday,ATL,51,27,24,14.3,20.7,0.1,0.0,0.1,25.0,0.0,0.0,0.0,0.0,28.6,0.1,42.9,0.0,33.3,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,57,24,33,24.4,34.2,0.4,0.2,0.2,83.3,0.0,0.0,0.0,0.4,90.9,0.1,36.4,0.0,0.0,0.0,9.1,0.0,0.0
6,Aaron Wiggins,OKC,50,25,25,18.8,21.8,0.6,0.1,0.2,36.4,0.1,0.1,100.0,0.2,34.5,0.3,48.3,0.0,7.1,0.1,10.3,0.0,3.4
7,Admiral Schofield,ORL,29,11,18,12.3,18.9,0.4,0.1,0.2,66.7,0.0,0.0,0.0,0.3,61.5,0.2,53.8,0.1,28.6,0.0,0.0,0.0,0.0
8,Al Horford,BOS,49,35,14,30.8,46.5,1.2,0.2,0.3,52.9,0.0,0.0,0.0,0.4,32.2,0.8,66.1,0.3,35.9,0.0,3.4,0.0,0.0
9,Alec Burks,DET,49,12,37,22.0,34.5,0.3,0.1,0.2,44.4,0.0,0.0,0.0,0.2,62.5,0.1,43.8,0.0,28.6,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,1.6,0.5,0.7,65.2,0.0,0.1,50.0,1.0,60.8,0.7,43.1,0.0,0.0,0.2,9.8,0.0,2.0
11,Alex Caruso,CHI,52,22,30,24.2,45.7,0.8,0.1,0.2,40.0,0.0,0.0,0.0,0.2,18.6,0.6,67.4,0.1,24.1,0.0,4.7,0.0,0.0
12,Alex Len,SAC,14,9,5,3.4,6.1,1.3,0.1,0.4,40.0,0.1,0.1,100.0,0.4,33.3,0.7,55.6,0.1,10.0,0.1,11.1,0.1,5.6
13,Alize Johnson,SAS,4,1,3,7.4,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,57,10,47,28.2,54.2,5.3,1.1,2.2,52.8,0.6,0.8,68.8,2.9,55.3,2.1,40.7,0.4,20.5,0.4,7.0,0.4,7.3
16,Amir Coffey,LAC,42,21,21,13.8,15.0,0.1,0.0,0.0,0.0,0.0,0.0,50.0,0.0,16.7,0.1,66.7,0.0,0.0,0.0,0.0,0.0,16.7
17,Andre Drummond,CHI,50,22,28,13.0,18.2,1.7,0.4,0.7,56.8,0.3,0.5,54.2,1.1,64.4,0.6,32.2,0.1,14.3,0.2,9.2,0.2,13.8
18,Andre Iguodala,GSW,2,0,2,12.3,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,57,25,32,26.9,43.7,0.5,0.1,0.2,60.0,0.0,0.0,0.0,0.2,46.2,0.2,53.8,0.0,14.3,0.0,7.7,0.0,0.0
20,Andrew Wiggins,GSW,36,18,18,32.3,46.2,0.7,0.3,0.4,56.3,0.1,0.1,75.0,0.6,80.8,0.2,26.9,0.0,14.3,0.0,0.0,0.1,7.7
21,Anfernee Simons,POR,57,27,30,35.3,68.4,0.3,0.2,0.2,69.2,0.0,0.0,0.0,0.3,118.8,0.0,12.5,0.0,50.0,0.0,6.3,0.0,0.0
22,Anthony Davis,LAL,38,18,20,33.3,67.5,4.9,1.4,2.7,52.9,0.6,0.6,91.7,3.6,72.7,1.4,29.4,0.3,23.6,0.2,4.8,0.3,5.9
23,Anthony Edwards,MIN,64,32,32,36.4,72.8,0.5,0.1,0.2,69.2,0.0,0.0,100.0,0.3,65.6,0.2,37.5,0.0,25.0,0.1,15.6,0.0,3.1
