,PLAYER,TEAM,GP,W,L,MIN,Touches,Post Ups,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,13,5,8,4.8,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,34,27,7,9.7,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,71,34,37,19.3,20.9,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aaron Gordon,DEN,67,45,22,30.2,42.6,2.2,0.5,1.1,49.3,0.5,0.7,67.4,1.6,71.7,0.5,24.1,0.1,4.8,0.1,5.5,0.3,15.2
4,Aaron Holiday,ATL,61,32,29,13.3,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,71,29,42,25.0,36.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Aaron Wiggins,OKC,69,36,33,18.7,21.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Admiral Schofield,ORL,35,14,21,11.7,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Al Horford,BOS,62,43,19,30.5,45.9,0.9,0.2,0.4,50.0,0.0,0.0,0.0,0.4,38.6,0.4,38.6,0.1,12.3,0.1,12.3,0.0,0.0
9,Alec Burks,DET,50,12,38,22.0,34.6,0.3,0.1,0.1,57.1,0.0,0.0,0.0,0.2,53.3,0.1,46.7,0.0,0.0,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,34,16,18,20.6,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alex Caruso,CHI,64,30,34,23.7,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Alex Len,SAC,24,15,9,5.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alize Johnson,SAS,4,1,3,7.4,11.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,73,16,57,29.0,55.9,4.4,1.0,1.8,55.7,0.3,0.4,71.9,2.3,53.0,1.7,39.8,0.4,8.8,0.2,5.6,0.2,5.0
16,Amir Coffey,LAC,49,25,24,12.7,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Andre Drummond,CHI,66,31,35,12.7,17.2,0.5,0.1,0.2,69.2,0.1,0.2,50.0,0.4,80.0,0.1,30.0,0.0,3.3,0.0,3.3,0.1,20.0
18,Andre Iguodala,GSW,7,2,5,13.5,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,73,31,42,27.5,48.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,25.0,0.0,25.0,0.0,0.0
20,Andrew Wiggins,GSW,36,18,18,32.3,46.2,1.7,0.4,0.8,59.3,0.1,0.2,66.7,1.0,58.1,0.8,43.5,0.2,12.9,0.0,1.6,0.1,4.8
21,Anfernee Simons,POR,62,27,35,35.0,67.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Anthony Davis,LAL,54,29,25,34.0,68.6,5.2,1.3,2.6,50.7,1.0,1.2,80.3,3.7,70.7,1.5,28.9,0.3,5.4,0.2,3.9,0.6,11.8
23,Anthony Edwards,MIN,77,38,39,36.1,71.3,0.6,0.2,0.3,54.5,0.1,0.1,50.0,0.4,68.9,0.2,31.1,0.1,8.9,0.0,6.7,0.1,8.9
24,Anthony Gill,WAS,57,20,37,10.3,10.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
25,Anthony Lamb,GSW,59,33,26,19.6,33.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,94.4,0.1,22.2,0.0,0.0,0.0,0.0
26,Austin Reaves,LAL,62,33,29,28.7,41.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Austin Rivers,MIN,52,25,27,19.5,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Ayo Dosunmu,CHI,77,37,40,26.1,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Bam Adebayo,MIA,74,39,35,35.0,62.5,2.7,0.7,1.4,51.0,0.3,0.3,84.0,1.7,62.4,0.8,30.7,0.2,6.9,0.2,7.4,0.2,6.4
