,PLAYER,TEAM,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
1,AJ Green,MIL,32,25,7,9.4,1.0,0.4,1.1,38.2,0.2,0.7,33.3,48.5
2,AJ Griffin,ATL,65,30,35,19.4,2.9,1.3,2.5,49.7,0.4,0.8,45.3,57.0
3,Aaron Gordon,DEN,61,42,19,30.1,1.6,0.6,1.6,38.4,0.4,0.9,41.1,50.0
4,Aaron Holiday,ATL,56,29,27,13.7,0.9,0.4,1.0,40.4,0.1,0.3,35.3,45.6
5,Aaron Nesmith,IND,64,28,36,24.8,1.1,0.4,1.0,41.8,0.2,0.5,44.1,53.0
6,Aaron Wiggins,OKC,60,33,27,18.5,0.2,0.1,0.3,33.3,0.1,0.1,50.0,43.3
7,Admiral Schofield,ORL,31,12,19,11.9,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
8,Al Horford,BOS,57,40,17,30.9,0.3,0.1,0.3,50.0,0.1,0.1,75.0,59.4
9,Alec Burks,DET,51,12,39,22.0,4.8,2.0,4.6,42.6,0.9,2.2,39.6,51.9
10,Aleksej Pokusevski,OKC,31,15,16,21.9,0.4,0.2,0.6,27.8,0.0,0.2,20.0,30.6
11,Alex Caruso,CHI,59,27,32,24.0,0.2,0.1,0.4,19.2,0.1,0.2,25.0,25.0
12,Alex Len,SAC,18,12,6,3.2,0.1,0.1,0.1,100,0.0,0.0,-,100
13,Alize Johnson,SAS,4,1,3,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,66,14,52,28.6,0.4,0.2,0.5,38.2,0.0,0.1,0.0,38.2
16,Amir Coffey,LAC,45,23,22,13.2,0.5,0.2,0.8,28.6,0.0,0.1,16.7,30.0
17,Andre Drummond,CHI,59,27,32,12.7,0.0,0.0,0.0,50.0,0.0,0.0,-,50.0
18,Andre Iguodala,GSW,8,3,5,14.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0
19,Andrew Nembhard,IND,66,30,36,27.2,2.1,0.9,2.7,33.7,0.3,0.9,32.8,39.0
20,Andrew Wiggins,GSW,37,19,18,32.2,2.3,1.1,3.1,33.9,0.2,0.8,24.1,37.0
