,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,7,1,6,8.7,2.3,1.1,50.0,3.1,72.7,0.4,84.2,6.0
1,AJ Green,MIL,23,16,7,12.9,2.0,0.7,35.6,3.6,54.2,0.3,60.0,8.1
2,AJ Griffin,ATL,62,27,35,20.6,2.4,0.6,24.7,4.1,59.3,0.2,62.2,8.7
3,Aaron Gordon,DEN,66,44,22,30.3,6.7,2.8,41.6,10.8,62.1,0.5,65.2,5.9
4,Aaron Holiday,ATL,38,18,20,15.7,1.9,0.4,20.8,3.3,57.1,0.2,60.5,10.1
5,Aaron Nesmith,IND,70,28,42,25.3,3.9,1.1,29.0,8.2,47.6,0.8,52.5,7.0
6,Aaron Wiggins,OKC,63,33,30,19.6,3.3,1.3,39.9,6.2,53.5,0.5,58.6,7.2
7,Admiral Schofield,ORL,23,11,12,14.6,2.7,1.0,36.1,5.7,46.2,0.4,50.0,7.1
8,Al Horford,BOS,63,44,19,30.5,6.2,2.0,33.1,10.2,60.7,0.9,66.8,6.4
9,Alec Burks,DET,44,11,33,22.6,3.5,0.8,22.6,5.7,62.2,0.3,65.1,7.7
10,Aleksej Pokusevski,OKC,33,16,17,21.0,4.8,2.1,43.4,9.4,51.5,1.1,58.2,5.0
11,Alex Caruso,CHI,58,26,32,24.2,3.3,0.6,17.2,6.0,55.3,0.5,60.4,9.3
12,Alex Len,SAC,16,9,7,8.4,3.4,1.3,36.4,5.7,60.4,0.4,64.7,5.4
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,74,17,57,29.0,9.0,4.1,45.0,16.0,56.2,1.2,60.9,5.1
16,Amir Coffey,LAC,26,11,15,19.5,2.0,0.3,17.0,4.0,51.0,0.3,54.6,10.5
17,Andre Drummond,CHI,66,31,35,12.7,6.6,3.3,50.0,9.5,69.0,0.4,72.0,4.1
18,Andre Iguodala,GSW,6,2,4,13.4,2.2,0.5,23.1,4.2,52.0,0.5,59.1,7.3
19,Andrew Nembhard,IND,70,29,41,27.7,2.8,0.5,16.8,5.1,55.4,0.4,59.8,9.9
20,Andrew Wiggins,GSW,35,17,18,32.4,5.2,1.5,28.7,9.9,52.3,0.8,56.9,7.1
21,Anfernee Simons,POR,57,26,31,34.8,2.8,0.6,21.1,5.1,55.7,0.5,61.2,9.5
22,Anthony Davis,LAL,55,30,25,34.0,12.5,6.8,54.3,20.2,62.0,1.5,66.9,4.3
23,Anthony Edwards,MIN,75,38,37,36.4,5.9,1.2,20.2,10.1,58.2,0.8,62.9,7.1
24,Anthony Gill,WAS,41,13,28,13.0,2.4,0.9,36.1,4.3,55.1,0.4,60.6,6.1
25,Anthony Lamb,GSW,53,28,25,20.2,3.9,1.4,35.7,7.8,50.2,0.7,55.2,6.5
26,Austin Reaves,LAL,56,31,25,29.3,3.4,0.4,13.2,6.2,54.2,0.6,60.4,9.1
27,Austin Rivers,MIN,36,16,20,22.4,2.3,0.2,9.6,3.8,61.0,0.3,65.9,9.6
28,Ayo Dosunmu,CHI,65,32,33,27.5,3.3,0.6,18.6,5.9,55.8,0.6,61.8,10.4
29,Bam Adebayo,MIA,74,39,35,35.0,9.3,3.9,41.6,15.7,59.1,1.1,63.4,5.7
30,Ben Simmons,BKN,42,24,18,26.3,6.3,1.7,27.0,9.9,63.1,0.7,67.8,6.3
31,Bennedict Mathurin,IND,75,31,44,28.9,4.2,1.1,27.0,8.2,51.3,0.6,55.4,8.3
32,Bismack Biyombo,PHX,56,30,26,15.1,4.6,1.9,40.8,8.9,52.3,0.8,57.1,5.0
33,Blake Griffin,BOS,35,23,12,15.2,4.4,2.0,45.8,7.6,57.5,0.6,62.2,5.4
34,Blake Wesley,SAS,23,5,18,19.1,2.9,0.6,19.4,5.5,52.8,0.2,54.9,8.0
35,Boban Marjanovic,HOU,26,6,20,5.6,2.1,0.8,37.0,3.8,54.5,0.3,60.0,4.3
36,Bobby Portis,MIL,69,47,22,26.1,9.7,3.2,32.9,15.7,61.5,1.0,65.9,5.0
37,Bogdan Bogdanovic,ATL,51,26,25,28.2,3.2,0.7,23.0,5.5,58.9,0.5,65.2,7.9
38,Bojan Bogdanovic,DET,57,15,42,32.3,3.8,0.7,17.4,7.2,53.2,0.5,56.8,8.9
39,Bol Bol,ORL,69,26,43,21.4,5.8,1.4,23.6,8.3,69.5,0.5,73.9,5.4
40,Bones Hyland,LAC,47,31,16,20.7,2.6,0.6,21.0,4.8,54.6,0.3,57.9,8.4
41,Bradley Beal,WAS,49,23,26,33.5,4.0,1.0,25.5,6.9,58.3,0.4,62.0,8.3
42,Brandon Boston Jr.,LAC,14,5,9,16.2,2.1,0.6,27.6,4.2,49.2,0.2,51.8,7.7
43,Brandon Clarke,MEM,56,32,24,19.5,5.5,2.4,43.9,10.9,50.9,0.7,54.5,5.2
44,Brandon Ingram,NOP,44,23,21,34.0,5.3,1.2,22.6,8.6,61.9,0.5,66.1,7.1
45,Braxton Key,DET,1,0,1,2.3,1.0,0.0,0.0,2.0,50.0,0.0,50.0,2.8
46,Brook Lopez,MIL,77,56,21,30.4,6.8,3.2,46.9,12.3,54.9,1.1,60.0,6.2
47,Bruce Brown,DEN,75,48,27,29.0,4.3,1.1,25.2,7.8,54.9,0.5,58.9,7.1
48,Bruno Fernando,ATL,33,11,22,10.8,3.8,1.5,39.4,7.7,50.0,0.6,54.0,5.0
49,Bryce McGowens,CHA,36,11,25,19.5,2.5,0.6,24.7,4.4,56.7,0.3,61.0,9.4
50,Bryn Forbes,MIN,11,4,7,12.0,1.4,0.5,33.3,2.1,65.2,0.1,68.2,11.8
51,Buddy Boeheim,DET,4,0,4,10.1,1.3,0.3,20.0,1.8,71.4,0.3,83.3,11.3
52,Buddy Hield,IND,78,34,44,31.2,5.1,0.9,17.5,9.2,55.0,0.8,60.1,8.0
53,CJ McCollum,NOP,71,36,35,35.2,4.5,0.7,14.9,7.5,60.7,0.4,64.3,10.0
54,Cade Cunningham,DET,12,3,9,33.3,6.2,1.8,29.7,10.7,57.8,0.5,60.7,7.1
55,Caleb Houstan,ORL,41,14,27,17.7,2.4,0.6,26.3,4.7,51.8,0.4,56.9,9.0
56,Caleb Martin,MIA,67,36,31,29.8,5.1,1.2,22.7,9.2,55.7,0.9,61.8,8.0
57,Cam Reddish,POR,31,12,19,26.8,2.8,0.7,26.1,4.9,58.3,0.4,62.9,10.2
58,Cam Thomas,BKN,41,23,18,19.5,2.3,0.5,20.4,4.4,51.1,0.4,56.0,7.8
59,Cameron Johnson,BKN,41,25,16,29.1,4.5,1.0,21.6,8.0,56.6,0.6,61.3,7.3
60,Cameron Payne,PHX,42,24,18,20.2,2.5,0.2,9.4,4.8,53.0,0.4,57.9,9.0
61,Caris LeVert,CLE,72,44,28,30.6,3.9,0.9,23.0,6.5,60.1,0.5,65.1,8.4
62,Carlik Jones,CHI,2,1,1,18.5,2.0,1.0,50.0,3.5,57.1,0.0,57.1,8.1
63,Cedi Osman,CLE,61,40,21,21.5,2.9,0.6,20.1,4.8,59.4,0.4,64.4,8.3
64,Charles Bassey,SAS,33,7,26,15.0,5.8,2.1,35.2,9.8,59.9,0.8,65.2,4.9
65,Chima Moneke,SAC,1,0,1,6.3,2.0,0.0,0.0,4.0,50.0,0.0,50.0,11.2
66,Chimezie Metu,SAC,55,36,19,11.3,3.6,1.2,34.3,5.8,62.5,0.3,65.3,4.5
67,Chris Boucher,TOR,75,38,37,20.1,5.5,2.5,45.2,9.8,56.8,0.7,61.2,4.6
68,Chris Duarte,IND,41,17,24,20.7,2.8,0.5,19.1,5.6,50.0,0.5,54.8,8.1
69,Chris Paul,PHX,58,33,25,32.4,4.3,0.7,17.1,7.1,61.1,0.4,65.2,9.2
70,Christian Braun,DEN,55,36,19,18.1,3.1,0.8,26.6,5.3,59.0,0.4,63.4,7.5
71,Christian Koloko,TOR,53,26,27,14.2,3.2,1.7,53.9,7.0,44.9,0.5,48.7,5.3
