,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
0,A.J. Lawson,DAL,13,5,8,4.8,2.6,0.0,0.0,1.6,46.7,0.0,0.0,0.3,100.0,0.0,0.0,0.0,0.0,63.5
1,AJ Green,MIL,31,25,6,9.5,4.5,0.1,100.0,3.1,46.4,1.1,38.2,0.3,75.0,0.0,0.0,0.0,0.0,62.5
2,AJ Griffin,ATL,61,28,33,19.4,8.8,2.0,49.5,3.2,37.0,2.9,50.7,0.6,75.0,0.0,100.0,0.4,73.3,56.3
3,Aaron Gordon,DEN,57,39,18,30.1,16.8,2.4,55.8,1.8,33.6,1.7,39.8,8.2,75.6,1.6,51.7,0.9,54.5,62.3
4,Aaron Holiday,ATL,54,28,26,13.6,3.9,1.2,40.9,1.4,42.4,0.9,39.6,0.2,41.7,0.0,0.0,0.0,25.0,50.0
5,Aaron Nesmith,IND,60,26,34,24.6,9.7,2.0,43.4,3.8,33.9,1.0,38.7,0.9,60.5,0.0,0.0,0.3,83.3,50.6
6,Aaron Wiggins,OKC,57,31,26,18.7,6.7,1.4,47.2,1.8,36.5,0.2,33.3,1.8,64.3,0.0,50.0,0.2,38.5,56.2
7,Admiral Schofield,ORL,31,12,19,11.9,4.2,0.8,60.0,1.9,37.7,0.0,0.0,0.7,61.1,0.0,0.0,0.3,66.7,58.9
8,Al Horford,BOS,54,37,17,31.0,9.8,0.7,58.6,6.7,44.0,0.4,50.0,1.5,53.4,0.4,52.4,0.4,47.4,63.1
9,Alec Burks,DET,50,12,38,22.0,12.9,3.0,49.0,3.3,43.4,4.9,42.6,0.2,44.4,0.2,57.1,0.2,44.4,55.1
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,1.1,34.2,3.8,38.5,0.4,27.8,2.5,54.5,0.0,0.0,1.0,65.2,51.9
11,Alex Caruso,CHI,56,24,32,24.2,5.7,0.8,39.4,2.4,38.0,0.2,16.0,0.8,57.6,0.0,0.0,0.2,50.0,53.7
12,Alex Len,SAC,16,10,6,3.0,0.8,0.0,0.0,0.0,0.0,0.1,100.0,0.6,100.0,0.0,0.0,0.4,40.0,50.0
13,Alize Johnson,SAS,4,1,3,7.4,1.8,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,62,12,50,28.3,14.7,2.8,55.5,0.9,35.0,0.4,40.6,5.4,58.3,2.3,55.1,2.8,53.4,56.6
16,Amir Coffey,LAC,44,22,22,13.5,3.7,1.5,41.4,0.7,31.4,0.5,28.6,0.1,50.0,0.0,0.0,0.0,0.0,41.8
17,Andre Drummond,CHI,54,24,30,12.9,6.2,0.2,45.5,0.0,0.0,0.0,100.0,4.4,62.4,0.2,55.6,1.1,54.8,61.8
18,Andre Iguodala,GSW,7,2,5,13.5,1.7,0.4,100.0,0.0,0.0,0.0,0.0,1.1,100.0,0.0,0.0,0.3,100.0,41.7
19,Andrew Nembhard,IND,62,28,34,26.9,8.3,2.2,41.1,2.8,34.7,2.1,34.6,0.4,61.1,0.0,0.0,0.2,63.6,49.7
20,Andrew Wiggins,GSW,36,18,18,32.3,17.1,1.6,34.3,7.1,43.9,2.4,33.9,3.3,63.5,1.0,59.3,0.6,56.3,56.0
21,Anfernee Simons,POR,60,27,33,35.0,21.2,5.9,54.2,6.0,40.1,7.4,39.4,0.5,62.5,0.0,0.0,0.3,64.3,55.2
22,Anthony Davis,LAL,44,22,22,33.5,26.1,2.4,51.3,2.3,31.8,2.2,39.8,13.0,70.7,3.8,50.0,3.7,55.5,57.3
23,Anthony Edwards,MIN,69,35,34,36.4,24.9,9.4,52.9,3.3,41.1,7.4,35.2,0.8,75.0,0.4,50.0,0.4,75.0,52.8
