Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,C,23,TOR,46,984,14.2,.541,.249,.338,9.1,23.6,15.9,6.3,1.3,2.5,11.8,19.0,,0.5,1.1,1.6,.080,,-2.1,-0.9,-3.0,-0.2
2,Steven Adams,C,29,MEM,42,1133,17.6,.564,.004,.490,19.9,25.2,22.5,11.3,1.5,3.7,19.8,14.6,,1.3,2.1,3.4,.145,,-0.3,0.9,0.6,0.7
3,Bam Adebayo,C,25,MIA,67,2350,20.4,.593,.012,.362,7.8,23.9,15.5,16.3,1.7,2.4,12.7,25.6,,3.3,3.6,6.9,.140,,0.8,0.9,1.7,2.2
4,Ochai Agbaji,SG,22,UTA,47,844,8.8,.582,.636,.143,4.2,6.8,5.5,5.4,0.7,0.7,8.2,13.2,,0.8,0.3,1.1,.060,,-1.8,-1.3,-3.1,-0.2
5,Santi Aldama,PF,22,MEM,67,1467,13.8,.585,.515,.256,5.1,17.1,11.1,7.5,1.3,2.8,8.8,16.1,,1.8,2.2,4.0,.129,,-0.5,0.9,0.4,0.9
6,Nickeil Alexander-Walker,SG,24,TOT,49,759,12.1,.564,.529,.201,1.9,11.0,6.5,17.9,1.9,2.1,15.3,18.5,,0.3,0.7,1.0,.062,,-1.1,0.5,-0.6,0.3
6,Nickeil Alexander-Walker,SG,24,UTA,36,528,13.1,.609,.512,.229,1.7,10.4,6.1,20.1,2.2,2.2,19.4,18.4,,0.3,0.5,0.8,.076,,-0.6,1.0,0.5,0.3
6,Nickeil Alexander-Walker,SG,24,MIN,13,231,9.7,.475,.562,.146,2.5,12.4,7.5,12.8,1.2,1.9,6.0,18.6,,-0.1,0.2,0.1,.031,,-2.5,-0.6,-3.1,-0.1
7,Grayson Allen,SG,27,MIL,64,1783,12.4,.618,.650,.228,3.5,8.8,6.2,11.3,1.4,0.5,10.9,14.7,,2.7,2.0,4.7,.128,,-0.4,0.6,0.2,1.0
8,Jarrett Allen,C,24,CLE,62,2048,19.8,.673,.016,.353,11.1,23.9,17.5,7.5,1.3,3.4,11.6,16.3,,5.0,3.7,8.7,.204,,1.3,1.1,2.3,2.2
9,Jose Alvarado,PG,24,NOP,61,1310,11.9,.525,.505,.164,2.4,9.8,6.1,20.0,2.5,0.7,13.4,19.8,,0.2,1.5,1.7,.061,,-2.0,0.6,-1.4,0.2
10,Kyle Anderson,PF,29,MIN,59,1631,14.8,.585,.206,.312,3.6,17.3,10.6,22.0,1.9,2.9,15.5,14.4,,2.1,2.2,4.3,.126,,0.1,2.2,2.3,1.8
11,Giannis Antetokounmpo,PF,28,MIL,55,1784,28.6,.600,.137,.618,7.6,29.5,19.0,32.0,1.1,2.0,13.0,39.1,,4.2,3.3,7.5,.201,,5.6,2.5,8.0,4.5
12,Thanasis Antetokounmpo,SF,30,MIL,28,112,2.0,.313,.227,.364,8.7,16.9,13.0,4.4,0.9,2.2,23.9,12.6,,-0.3,0.2,-0.1,-0.054,,-9.2,-1.0,-10.1,-0.2
13,Cole Anthony,PG,22,ORL,51,1297,15.7,.563,.336,.298,3.1,17.4,10.2,23.1,1.2,2.0,11.7,21.2,,1.7,1.3,3.0,.110,,0.5,0.3,0.8,0.9
14,OG Anunoby,SF,25,TOR,57,2036,14.2,.582,.401,.210,4.2,12.6,8.1,7.8,2.7,1.9,13.3,19.7,,1.1,2.4,3.5,.082,,-0.8,0.7,-0.1,1.0
15,Ryan Arcidiacono,PG,28,TOT,16,87,5.1,.500,.588,.000,0.0,14.2,7.2,13.4,1.7,0.0,19.0,10.5,,0.0,0.1,0.0,.017,,-6.8,-0.5,-7.3,-0.1
15,Ryan Arcidiacono,PG,28,NYK,11,26,3.2,.300,.600,.000,0.0,16.7,8.4,9.5,3.8,0.0,16.7,9.9,,0.0,0.0,0.0,-0.008,,-9.0,3.9,-5.2,0.0
15,Ryan Arcidiacono,PG,28,POR,5,61,5.9,.583,.583,.000,0.0,13.2,6.6,15.1,0.8,0.0,20.0,10.7,,0.0,0.0,0.0,.028,,-5.9,-2.3,-8.2,-0.1
16,Deni Avdija,SF,22,WAS,69,1784,11.0,.524,.405,.291,4.7,21.5,13.5,13.1,1.6,1.3,14.7,16.1,,0.1,2.1,2.2,.058,,-2.9,0.5,-2.4,-0.2
17,Deandre Ayton,C,24,PHO,61,1857,20.4,.616,.029,.219,9.5,27.9,18.5,9.9,0.9,2.3,10.9,23.4,,3.1,2.7,5.8,.151,,1.2,-0.1,1.2,1.5
18,Udoka Azubuike,C,23,UTA,26,153,16.6,.769,.000,.276,11.5,28.2,19.9,5.5,1.3,3.8,23.5,11.6,,0.2,0.2,0.4,.127,,-0.9,0.8,0.0,0.1
19,Marvin Bagley III,C,23,DET,33,746,17.2,.577,.156,.271,11.9,21.2,16.4,5.2,0.9,2.9,10.0,20.3,,0.9,0.6,1.4,.093,,-0.1,-1.3,-1.3,0.1
20,Patrick Baldwin Jr.,SF,20,GSW,26,210,11.1,.555,.770,.060,0.5,18.1,9.4,4.8,1.3,1.7,9.7,22.7,,-0.1,0.2,0.1,.017,,-0.7,-1.5,-2.2,0.0
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
21,LaMelo Ball,PG,21,CHO,36,1268,18.0,.541,.531,.169,3.4,16.2,9.7,38.5,1.7,0.8,14.3,29.9,,0.7,1.2,1.8,.069,,3.2,-0.9,2.3,1.4
22,Mo Bamba,C,24,TOT,47,762,15.9,.605,.517,.261,8.3,24.4,16.3,8.7,0.8,5.3,10.2,16.6,,1.2,1.0,2.2,.138,,-0.1,0.7,0.6,0.5
22,Mo Bamba,C,24,ORL,40,681,16.4,.613,.505,.238,7.8,23.0,15.4,9.0,0.9,5.4,8.5,16.3,,1.2,0.9,2.1,.149,,0.5,0.8,1.3,0.6
22,Mo Bamba,C,24,LAL,7,81,11.1,.537,.625,.458,12.2,35.8,24.4,6.5,0.6,4.2,21.7,19.2,,-0.1,0.1,0.1,.049,,-5.2,-0.2,-5.4,-0.1
23,Paolo Banchero,PF,20,ORL,64,2165,14.8,.527,.257,.476,3.8,18.6,11.2,16.7,1.3,1.5,12.7,27.6,,-0.3,2.2,1.9,.041,,-0.9,-0.9,-1.8,0.1
24,Desmond Bane,SG,24,MEM,48,1500,19.1,.598,.432,.221,2.5,14.7,8.6,20.8,1.4,1.2,10.7,26.2,,2.7,2.0,4.7,.152,,3.3,0.2,3.6,2.1
25,Dalano Banton,PG,23,TOR,27,251,13.8,.499,.411,.170,3.8,13.2,8.1,17.1,2.6,4.6,11.7,23.1,,-0.1,0.3,0.3,.053,,-2.0,0.8,-1.2,0.1
26,Dominick Barlow,SF,19,SAS,17,199,10.5,.566,.095,.310,11.2,14.4,12.7,6.5,1.2,2.9,17.3,12.0,,0.1,0.1,0.2,.056,,-4.4,-1.1,-5.6,-0.2
27,Harrison Barnes,PF,30,SAC,70,2300,13.9,.632,.459,.519,3.4,12.7,8.1,6.3,1.0,0.4,8.5,16.9,,4.2,1.3,5.5,.114,,0.4,-1.4,-1.0,0.6
