TEAM,POS,FPTS ALLOWED,PTS,REB,AST,STL,BLK,TO,3PM,FG%,FT%
MIN,PG,26.9,13.5,3.6,4.3,0.9,0.2,1.8,1.6,44.5,80.4
SAS,PG,26.9,13.7,3.2,4.2,1.0,0.3,1.5,1.7,49.0,83.7
GSW,PG,26.2,13.2,3.3,4.2,0.9,0.3,1.7,1.6,44.7,80.9
HOU,PG,26.0,13.1,2.7,4.3,1.1,0.3,1.4,1.8,44.3,83.6
OKC,PG,25.8,13.3,3.1,4.2,0.9,0.3,2.0,1.7,43.6,83.0
LAL,PG,25.7,13.5,2.9,4.1,0.9,0.3,1.5,1.6,45.0,82.4
TOR,PG,25.6,12.8,3.2,4.4,0.9,0.3,2.2,1.6,47.1,83.9
CHA,C,25.5,10.8,6.9,2.0,0.6,1.0,1.2,0.6,53.5,74.0
DET,PG,25.4,12.5,3.1,4.1,1.0,0.3,1.4,1.5,45.1,81.0
ATL,C,25.3,11.3,6.8,1.8,0.7,0.8,1.3,0.6,59.2,77.5
WAS,PG,25.3,13.1,3.2,3.9,0.9,0.3,1.5,1.6,44.4,83.4
DEN,PG,25.2,12.8,2.8,4.5,0.7,0.2,1.6,1.4,45.1,83.3
UTA,PG,25.1,13.2,3.2,3.6,0.9,0.3,1.5,1.5,45.7,79.9
IND,PG,25.1,12.8,3.1,3.9,0.9,0.3,1.6,1.7,43.1,85.5
CHI,PG,25.0,12.4,3.4,4.1,0.8,0.3,1.8,1.6,43.7,84.2
SAS,C,25.0,11.0,6.5,1.9,0.7,0.9,1.3,0.5,57.2,70.1
MIA,PG,25.0,12.5,3.2,4.1,0.9,0.3,2.0,1.9,43.2,80.4
POR,PG,24.8,12.2,3.2,4.3,0.8,0.2,1.6,1.5,45.5,84.5
MIL,PG,24.8,13.1,3.3,3.6,0.8,0.2,1.3,1.5,44.1,83.4
UTA,SG,24.7,13.6,3.4,2.8,0.8,0.3,1.2,1.8,44.6,83.2
ORL,PG,24.7,12.3,2.9,4.2,1.0,0.3,1.8,1.5,43.6,83.8
BKN,SG,24.6,13.6,3.4,2.7,0.8,0.4,1.3,2.1,45.1,79.2
BOS,PG,24.6,12.8,3.1,3.6,0.9,0.3,1.3,1.5,44.2,81.8
BKN,PG,24.6,12.4,3.3,3.7,1.0,0.2,1.5,1.6,43.6,84.5
LAC,PG,24.5,12.0,3.0,3.9,1.0,0.3,1.3,1.5,44.1,80.7
SAC,PG,24.5,12.6,3.0,4.0,0.9,0.2,1.6,1.5,45.6,83.8
CHI,SG,24.5,12.8,3.5,3.1,0.8,0.4,1.5,2.0,44.2,81.6
GSW,C,24.4,10.8,6.6,2.0,0.6,0.6,1.5,0.6,54.3,71.9
SAC,SG,24.4,13.5,3.2,2.8,1.0,0.3,1.5,1.8,47.5,80.3
CHA,PG,24.4,12.4,3.1,3.9,0.8,0.3,1.7,1.5,45.5,82.9
IND,C,24.3,10.6,6.6,1.8,0.6,0.9,1.4,0.5,57.2,73.7
MIA,SG,24.1,12.7,3.3,3.0,0.9,0.3,1.7,2.0,44.6,79.0
ATL,PG,24.1,11.9,3.0,4.0,0.9,0.3,1.6,1.3,44.2,84.3
NYK,PG,24.1,12.1,3.1,3.8,0.8,0.4,1.4,1.5,42.6,81.4
ATL,PF,24.0,11.9,5.2,2.0,0.6,0.6,1.2,1.2,48.6,84.1
ATL,SF,23.9,12.4,4.1,2.4,0.9,0.4,1.3,1.4,46.5,82.8
LAL,C,23.8,9.8,6.5,1.9,0.6,0.8,1.1,0.5,56.4,68.4
GSW,SG,23.8,12.6,3.3,3.0,0.9,0.3,1.4,1.8,44.4,78.6
HOU,SG,23.8,13.0,2.9,2.6,1.0,0.3,1.1,2.1,47.0,83.2
IND,SG,23.8,12.6,3.5,2.8,0.9,0.3,1.6,1.8,44.5,85.5
NOP,PG,23.8,12.0,2.9,4.0,0.8,0.3,1.7,1.4,43.6,82.0
IND,PF,23.7,11.3,5.3,2.1,0.7,0.6,1.3,1.0,49.8,78.8
CHA,PF,23.6,11.2,5.2,2.1,0.6,0.7,1.2,1.2,46.7,81.3
DET,C,23.6,10.2,6.6,1.6,0.5,1.0,1.2,0.4,55.9,69.5
PHI,SG,23.6,13.0,3.1,2.8,0.8,0.4,1.4,1.8,46.3,83.8
MEM,PG,23.5,11.4,3.2,4.1,0.8,0.2,1.7,1.5,41.3,85.2
DAL,PG,23.5,12.1,2.9,3.9,0.8,0.2,1.5,1.3,45.5,84.8
SAC,SF,23.5,12.5,4.0,2.3,0.8,0.4,1.3,1.5,49.8,75.8
OKC,PF,23.5,11.1,5.5,2.0,0.6,0.7,1.5,1.1,48.8,77.3
OKC,C,23.3,9.7,6.5,2.0,0.4,0.9,1.5,0.5,57.8,73.7
WAS,SG,23.3,12.8,3.3,2.6,0.8,0.2,1.3,1.8,45.7,83.5
MIN,SG,23.2,12.5,3.3,2.8,0.9,0.2,1.6,1.7,46.0,78.6
PHX,C,23.1,9.7,6.5,1.8,0.7,0.7,1.4,0.5,55.0,75.8
TOR,C,23.1,10.5,6.4,1.7,0.4,0.7,1.5,0.6,56.8,73.1
DET,SG,23.0,12.5,2.9,2.7,0.9,0.3,1.2,1.7,45.6,81.1
UTA,C,23.0,10.2,5.9,1.7,0.6,1.0,1.2,0.5,54.4,71.0
DAL,PF,22.9,11.3,5.1,2.0,0.6,0.5,1.1,1.1,51.3,77.8
SAC,C,22.9,10.3,5.9,1.9,0.5,0.8,1.3,0.5,57.3,72.8
MIA,SF,22.9,12.0,4.2,2.4,0.8,0.3,1.5,1.5,49.9,78.0
MIN,C,22.8,9.8,5.8,2.0,0.6,0.8,1.5,0.6,53.1,67.3
LAL,SG,22.8,12.2,3.3,2.7,0.8,0.3,1.2,1.7,42.8,81.4
MIN,PF,22.8,11.3,4.9,1.8,0.9,0.5,1.3,1.2,46.9,76.7
DET,PF,22.8,11.1,5.2,1.7,0.6,0.6,1.2,1.1,50.2,78.1
ORL,SF,22.7,11.9,3.7,2.3,0.8,0.5,1.3,1.7,46.2,79.8
CLE,C,22.7,9.6,6.4,1.6,0.7,0.7,1.3,0.7,53.0,77.1
TOR,SG,22.6,11.9,3.3,3.0,0.7,0.3,1.5,1.7,46.4,84.2
TOR,PF,22.6,10.9,5.2,1.9,0.6,0.6,1.6,1.1,48.9,77.1
CHI,PF,22.6,10.6,5.1,2.0,0.6,0.6,1.1,1.2,46.5,78.1
OKC,SG,22.6,12.1,3.3,2.7,0.8,0.3,1.6,1.8,43.7,77.0
ORL,SG,22.6,11.6,3.1,3.0,1.0,0.3,1.7,1.7,42.6,80.5
PHX,SG,22.6,12.6,3.2,2.5,0.8,0.3,1.5,1.7,42.7,83.1
PHI,PG,22.5,11.3,2.8,3.8,0.8,0.3,1.5,1.3,43.8,83.1
GSW,PF,22.5,11.2,5.2,1.6,0.7,0.4,1.2,1.2,48.4,75.6
MEM,PF,22.5,10.9,4.7,2.0,0.7,0.7,1.3,1.2,45.9,82.3
BOS,C,22.4,9.9,6.7,1.5,0.4,0.5,1.3,0.6,54.5,69.9
CHI,C,22.4,9.9,5.7,1.8,0.5,0.8,1.3,0.6,56.4,68.9
HOU,C,22.4,9.2,5.9,1.8,0.6,1.0,1.3,0.5,55.5,73.5
PHX,PG,22.3,11.9,2.8,3.4,0.7,0.2,1.6,1.4,43.8,81.9
HOU,PF,22.3,10.4,4.8,2.0,0.7,0.8,1.1,1.1,50.3,76.4
LAC,C,22.3,9.9,5.8,1.9,0.5,0.7,1.2,0.5,56.1,75.5
CLE,PF,22.3,11.1,4.8,1.8,0.7,0.5,1.3,1.2,49.2,75.9
MEM,C,22.2,8.9,6.0,2.0,0.6,0.8,1.4,0.5,52.5,71.0
LAL,PF,22.2,10.4,5.0,1.9,0.6,0.7,1.0,1.0,47.2,74.4
WAS,C,22.2,9.9,5.7,1.6,0.6,0.9,1.0,0.5,53.1,75.8
ATL,SG,22.1,11.7,3.4,2.8,0.7,0.2,1.4,1.6,43.4,82.6
IND,SF,22.1,11.3,4.1,2.2,0.8,0.4,1.3,1.2,46.3,81.4
LAC,PF,22.1,10.6,5.0,1.9,0.7,0.5,1.2,1.0,48.5,75.2
MIL,C,22.0,9.3,5.9,1.8,0.6,0.7,1.1,0.6,48.8,70.2
MEM,SG,21.9,11.6,3.2,2.7,0.7,0.3,1.4,1.6,43.4,79.1
GSW,SF,21.9,11.3,3.7,2.4,0.8,0.3,1.2,1.4,45.9,76.7
CHA,SG,21.8,11.7,3.0,2.6,0.7,0.3,1.3,1.6,45.2,82.8
ORL,PF,21.7,10.4,4.7,1.9,0.6,0.6,1.2,1.1,48.4,78.1
SAC,PF,21.6,10.8,4.5,2.0,0.6,0.5,1.2,1.0,50.8,79.9
POR,SG,21.6,11.7,3.0,2.5,0.8,0.2,1.3,1.7,44.7,80.4
BOS,PF,21.5,11.2,4.7,1.7,0.5,0.5,1.3,1.1,48.1,80.3
SAS,SG,21.5,11.5,2.9,2.6,0.9,0.3,1.2,1.5,46.3,81.6
CLE,PG,21.5,10.8,2.6,3.6,0.8,0.2,1.6,1.3,43.2,81.2
SAS,PF,21.5,10.6,4.6,1.8,0.6,0.5,1.1,1.0,52.3,79.8
ORL,C,21.5,9.6,5.6,1.5,0.6,0.8,1.1,0.5,56.8,71.6
DAL,SG,21.5,11.4,3.4,2.7,0.6,0.3,1.4,1.4,43.7,83.2
POR,C,21.5,9.8,5.4,1.7,0.5,0.7,1.1,0.5,57.2,68.8
LAL,SF,21.5,10.9,3.8,2.1,0.8,0.4,1.1,1.4,44.8,79.2
UTA,SF,21.4,11.0,3.7,2.1,0.9,0.3,1.0,1.3,45.8,77.8
NOP,PF,21.4,10.4,4.6,1.8,0.6,0.6,1.2,1.1,50.3,80.3
UTA,PF,21.4,10.1,4.8,1.9,0.7,0.6,1.1,0.9,47.2,75.9
NOP,C,21.4,9.2,5.6,1.6,0.5,0.8,1.2,0.5,58.4,72.3
NYK,SG,21.4,11.7,3.1,2.5,0.6,0.3,1.2,1.7,44.3,81.1
BKN,C,21.3,9.4,6.1,1.4,0.5,0.5,1.1,0.5,52.7,65.9
DAL,C,21.3,9.6,5.9,1.6,0.4,0.6,1.0,0.4,58.9,71.2
BKN,SF,21.3,11.2,3.8,2.0,0.7,0.4,1.2,1.3,44.1,79.0
MIL,SG,21.1,11.3,3.4,2.4,0.8,0.2,1.2,1.4,42.8,82.1
POR,PF,21.1,10.6,4.3,1.8,0.6,0.5,1.1,1.0,50.8,76.6
BOS,SG,21.0,11.3,3.0,2.3,0.7,0.3,1.0,1.5,43.3,82.3
