TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
BOS Celtics,-8,O 231,−315,−105,−105
CHA Hornets,+8,U 231,+260,−115,−115
IND Pacers,+9.5,O 233,+350,−110,−110
MIL Bucks,-9.5,U 233,−435,−110,−110
TOR Raptors,+2.5,O 218,+115,−115,−110
NY Knicks,-2.5,U 218,−135,−105,−110
NO Pelicans,+7,O 222.5,+225,−110,−110
CLE Cavaliers,-7,U 222.5,−265,−110,−110
GS Warriors,-2.5,O 236,−140,−110,−110
WAS Wizards,+2.5,U 236,+120,−110,−110
MIA Heat,-1,O 223,−115,−110,−110
ATL Hawks,+1,U 223,−105,−110,−110
UTA Jazz,+2,O 234.5,+110,−110,−110
MIN Timberwolves,-2,U 234.5,−130,−110,−110
PHO Suns,+10.5,O 228,+410,−110,−110
MEM Grizzlies,-10.5,U 228,−520,−110,−110
HOU Rockets,+5.5,O 236,+180,−110,−110
LA Lakers,-5.5,U 236,−210,−110,−110
