TOMORROW,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
NO Pelicans,-1,O 226.5,−115,−110,−110
ORL Magic,+1,U 226.5,−105,−110,−110
NY Knicks,+3,O 231.5,+135,−105,−110
ATL Hawks,-3,U 231.5,−155,−115,−110
MIA Heat,-1,O 217.5,−115,−110,−110
DAL Mavericks,+1,U 217.5,−105,−110,−110
GS Warriors,+7,,+240,−110,
CLE Cavaliers,-7,,−285,−110,
LA Clippers,-7,O 231.5,−265,−110,−110
SA Spurs,+7,U 231.5,+225,−110,−110
IND Pacers,+11,O 240.5,+470,−110,−105
DEN Nuggets,-11,U 240.5,−625,−110,−115
BKN Nets,+6.5,O 227.5,+210,−110,−110
UTA Jazz,-6.5,U 227.5,−250,−110,−110
MEM Grizzlies,-7,O 243,−285,−110,−110
LA Lakers,+7,U 243,+240,−110,−110
OKC Thunder,+3,,+130,−110,
SAC Kings,-3,,−150,−110,
