TODAY,SPREAD,O/U,MONEYLINE,spread_odds,total_odds,TOTAL
IND Pacers,+5.5,O 234−110,+165,−115,−110,O 234
ORL Magic,-5.5,U 234−110,−195,−105,−110,U 234
BKN Nets,+6,O 224.5−110,+190,−105,−110,O 224.5
PHI 76ers,-6,U 224.5−110,−225,−115,−110,U 224.5
ATL Hawks,-1.5,O 238−110,−125,−110,−110,O 238
OKC Thunder,+1.5,U 238−110,+105,−110,−110,U 238
DEN Nuggets,+10,O 229.5−110,+370,−110,−110,O 229.5
MIL Bucks,-10,U 229.5−110,−460,−110,−110,U 229.5
WAS Wizards,-2,O 232.5−110,−140,−115,−110,O 232.5
HOU Rockets,+2,U 232.5−110,+120,−105,−110,U 232.5
MIN Timberwolves,+3,O 228.5−110,+130,−110,−110,O 228.5
NO Pelicans,-3,U 228.5−110,−150,−110,−110,U 228.5
UTA Jazz,+3.5,O 239.5−110,+140,−110,−110,O 239.5
POR Trail Blazers,-3.5,U 239.5−110,−165,−110,−110,U 239.5
TOR Raptors,+3,O 238−115,+130,−105,−115,O 238
SAC Kings,-3,U 238−105,−150,−115,−105,U 238
MEM Grizzlies,+3.5,O 245.5−110,+140,−110,−110,O 245.5
GS Warriors,-3.5,U 245.5−110,−165,−110,−110,U 245.5
SA Spurs,+7,O 244−110,+230,−105,−110,O 244
LA Lakers,-7,U 244−110,−275,−115,−110,U 244
