TOMORROW,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
DET Pistons,+12.5,O 222,+575,−105,−110
CLE Cavaliers,-12.5,U 222,−800,−115,−110
CHA Hornets,+4.5,,+160,−110,
WAS Wizards,-4.5,,−190,−110,
IND Pacers,+6.5,O 223,+230,−110,−110
MIA Heat,-6.5,U 223,−275,−110,−110
SA Spurs,+10.5,O 234,+410,−105,−110
TOR Raptors,-10.5,U 234,−520,−115,−110
PHI 76ers,+4.5,,+160,−110,
BOS Celtics,-4.5,,−190,−110,
SAC Kings,-8.5,O 241,−345,−105,−110
HOU Rockets,+8.5,U 241,+285,−115,−110
MIN Timberwolves,+3.5,,+130,−110,
UTA Jazz,-3.5,,−150,−110,
GS Warriors,+3,O 234.5,+135,−110,−110
POR Trail Blazers,-3,U 234.5,−155,−110,−110
DAL Mavericks,+7.5,,+250,−110,
LA Clippers,-7.5,,−300,−110,
