TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds,total_odds
TOR Raptors,+5.5,O 224.5,+175,−105,−110
PHI 76ers,-5.5,U 224.5,−205,−115,−110
CHI Bulls,-10,O 224,−435,−110,−105
CHA Hornets,+10,U 224,+350,−110,−115
OKC Thunder,-2.5,O 236,−140,−110,−110
IND Pacers,+2.5,U 236,+120,−110,−110
ORL Magic,-1,O 225.5,−115,−110,−110
WAS Wizards,+1,U 225.5,−105,−110,−110
NY Knicks,+3.5,O 222,+145,−110,−110
CLE Cavaliers,-3.5,U 222,−170,−110,−110
ATL Hawks,-1.5,O 240.5,−120,−110,−110
BKN Nets,+1.5,U 240.5,+100,−110,−110
UTA Jazz,+13,O 232,+600,−105,−110
BOS Celtics,-13,U 232,−850,−115,−110
LA Lakers,-1,O 232.5,−110,−105,−110
MIN Timberwolves,+1,U 232.5,−110,−115,−110
DET Pistons,+5.5,O 228.5,+180,−110,−110
HOU Rockets,-5.5,U 228.5,−210,−110,−110
LA Clippers,+6.5,O 235,+220,−110,−110
MEM Grizzlies,-6.5,U 235,−260,−110,−110
SAC Kings,-14,O 231,−975,−110,−110
POR Trail Blazers,+14,U 231,+675,−110,−110
SA Spurs,+18,O 242,+1000,−110,−105
GS Warriors,-18,U 242,−1800,−110,−115
DEN Nuggets,+9.5,O 226.5,+340,−105,−110
PHO Suns,-9.5,U 226.5,−425,−115,−110
