TOMORROW,SPREAD,,MONEYLINE,spread_odds
MIA Heat,-11,,−625,−110
DET Pistons,+11,,+470,−110
TOR Raptors,-15,,−1150,−110
CHA Hornets,+15,,+750,−110
MIL Bucks,-12,,−720,−110
WAS Wizards,+12,,+520,−110
CLE Cavaliers,-4.5,,−190,−110
ORL Magic,+4.5,,+160,−110
MIN Timberwolves,+1,,−110,−115
BKN Nets,-1,,−110,−105
BOS Celtics,+1,,−105,−110
PHI 76ers,-1,,−115,−110
ATL Hawks,+2.5,,+120,−110
CHI Bulls,-2.5,,−140,−110
SAC Kings,+2.5,,+120,−110
NO Pelicans,-2.5,,−140,−110
POR Trail Blazers,+18,,+1100,−110
MEM Grizzlies,-18,,−2100,−110
DEN Nuggets,-10.5,,−540,−110
HOU Rockets,+10.5,,+420,−110
LA Lakers,-7,,−275,−110
UTA Jazz,+7,,+230,−110
OKC Thunder,+7.5,,+250,−110
GS Warriors,-7.5,,−300,−110
SA Spurs,+18.5,,+1100,−110
PHO Suns,-18.5,,−2100,−110
