TODAY,SPREAD,TOTAL,MONEYLINE,spread_odds
BKN Nets,-11.5,O 219−110,−580,−110
DET Pistons,+11.5,U 219−110,+440,−110
NY Knicks,-4,O 229−105,−190,−115
IND Pacers,+4,U 229−115,+160,−105
CHI Bulls,+6.5,O 230−110,+230,−105
MIL Bucks,-6.5,U 230−110,−275,−115
TOR Raptors,+3,O 224−110,+125,−110
BOS Celtics,-3,U 224−110,−145,−110
WAS Wizards,+11,O 233−110,+430,−110
ATL Hawks,-11,U 233−110,−560,−110
MEM Grizzlies,+5.5,O 229−110,+175,−110
NO Pelicans,-5.5,U 229−110,−205,−110
SAC Kings,+6,O 241−110,+210,−110
DAL Mavericks,-6,U 241−110,−250,−110
LA Lakers,+4,O 232−110,+150,−110
LA Clippers,-4,U 232−110,−175,−110
