,team1,team2,time,opening_spread_t1,opening_spread_t2,current_spread_t1,current_spread_t2,opening_moneyline_t1,opening_moneyline_t2,current_moneyline_t1,current_moneyline_t2
0,Denver,Philadelphia,12:00:00,+4.5,-4.5,+3.5,-3.5,+160,-188,+140,-160
1,New York,Brooklyn,14:30:00,-1,+1,+2,-2,-120,-111,+112,-132
2,Chicago,Orlando,16:00:00,-3.5,+3.5,-2.5,+2.5,-182,+130,-140,+120
3,Houston,Detroit,16:00:00,+3.5,-3.5,+4,-4,+130,-182,+151,-171
4,LA Clippers,Atlanta,16:30:00,-1.5,+1.5,Ev,Ev,-125,-105,-113,-107
5,Washington,New Orleans,17:00:00,+3.5,-3.5,+4.5,-4.5,+130,-182,+165,-190
6,Sacramento,Minnesota,17:00:00,-3.5,+3.5,-1.5,+1.5,-182,+130,-128,+108
7,Phoenix,San Antonio,17:00:00,-6,+6,-5,+5,-263,+180,-195,+170
8,LA Lakers,Boston,17:30:00,+7,-7,+9,-9,+220,-333,+305,-375
9,Dallas,Utah,18:00:00,+7,-7,+7,-7,+220,-333,+235,-280
