name,minutes,OUT,GTD,team
Naji Marshall,36.0,0,0,Pelicans
CJ McCollum,35.0,0,0,Pelicans
Trey Murphy,32.0,0,0,Pelicans
Jonas Valanciunas,28.0,0,0,Pelicans
Dyson Daniels,25.0,0,0,Pelicans
Jose Alvarado,24.0,0,0,Pelicans
Larry Nance,23.0,0,0,Pelicans
Devonte' Graham,18.0,0,0,Pelicans
Jaxson Hayes,18.0,0,0,Pelicans
Kira Lewis,2.0,0,0,Pelicans
Dereon Seabron,1.0,0,0,Pelicans
Garrett Temple,1.0,0,0,Pelicans
Willy Hernangomez,0.0,0,0,Pelicans
Zion Williamson,0.0,1,0,Pelicans
Herbert Jones,0.0,1,0,Pelicans
Brandon Ingram,0.0,1,0,Pelicans
E.J. Liddell,0.0,1,0,Pelicans
Jaden Ivey,36.0,0,0,Pistons
Saddiq Bey,36.0,0,0,Pistons
Killian Hayes,33.0,0,0,Pistons
Bojan Bogdanovic,33.0,0,0,Pistons
Nerlens Noel,21.0,0,0,Pistons
Hamidou Diallo,27.0,0,0,Pistons
Alec Burks,22.0,0,0,Pistons
Isaiah Livers,20.0,0,0,Pistons
Kevin Knox,10.0,0,0,Pistons
Jared Rhoden,1.0,0,0,Pistons
Rodney McGruder,1.0,0,0,Pistons
Isaiah Stewart,0.0,1,0,Pistons
Jalen Duren,0.0,1,0,Pistons
Marvin Bagley,0.0,1,0,Pistons
Cory Joseph,0.0,1,0,Pistons
Dejounte Murray,38.0,0,0,Hawks
De'Andre Hunter,35.0,0,0,Hawks
Trae Young,34.0,0,0,Hawks
John Collins,33.0,0,0,Hawks
Onyeka Okongwu,32.0,0,0,Hawks
Bogdan Bogdanovic,28.0,0,0,Hawks
AJ Griffin,16.0,0,0,Hawks
Jalen Johnson,10.0,0,0,Hawks
Aaron Holiday,9.0,0,0,Hawks
Frank Kaminsky,5.0,0,0,Hawks
Trent Forrest,0.0,0,0,Hawks
Justin Holiday,0.0,0,0,Hawks
Vit Krejci,0.0,0,0,Hawks
Derrick Favors,0.0,0,0,Hawks
Clint Capela,0.0,1,0,Hawks
Andrew Nembhard,35.0,0,0,Pacers
Buddy Hield,33.0,0,0,Pacers
Bennedict Mathurin,31.0,0,0,Pacers
Chris Duarte,22.0,0,0,Pacers
Isaiah Jackson,19.0,0,0,Pacers
Oshae Brissett,26.0,0,0,Pacers
T.J. McConnell,26.0,0,0,Pacers
Jalen Smith,25.0,0,0,Pacers
James Johnson,13.0,0,0,Pacers
Goga Bitadze,10.0,0,0,Pacers
Terry Taylor,7.0,0,0,Pacers
Trevelin Queen,0.0,0,0,Pacers
Myles Turner,0.0,1,0,Pacers
T. Haliburton,0.0,1,0,Pacers
Aaron Nesmith,0.0,1,0,Pacers
Daniel Theis,0.0,1,0,Pacers
Kendall Brown,0.0,1,0,Pacers
Julius Randle,39.0,0,0,Knicks
RJ Barrett,38.0,0,0,Knicks
Jalen Brunson,37.0,0,0,Knicks
