Team,Status,PG,SG,SF,PF,C
PHI,Confirmed Lineup,James Harden,Tyrese Maxey,D. Melton,Tobias Harris, M. Harrell
DET,Confirmed Lineup,Killian Hayes,Jaden Ivey,B. Bogdanovic,Saddiq Bey, I. Stewart
POR,Confirmed Lineup,D. Lillard,A. Simons,Josh Hart,Jerami Grant, Jusuf Nurkic
TOR,Confirmed Lineup,Fred VanVleet,Gary Trent,OG Anunoby,S. Barnes, Pascal Siakam
CHA,Confirmed Lineup,LaMelo Ball,Terry Rozier,J. McDaniels,P. Washington, Mason Plumlee
IND,Confirmed Lineup,T. Haliburton,A. Nembhard,Buddy Hield,Aaron Nesmith, Myles Turner
BKN,Confirmed Lineup,Kyrie Irving,Royce O'Neale,Kevin Durant,Ben Simmons, Nic Claxton
MIA,Confirmed Lineup,Kyle Lowry,Tyler Herro,H. Highsmith,Jimmy Butler, Bam Adebayo
UTA,Confirmed Lineup,Mike Conley,J. Clarkson,L. Markkanen,J. Vanderbilt, Kelly Olynyk
MEM,Confirmed Lineup,Tyus Jones,Desmond Bane,Dillon Brooks,Jaren Jackson, X. Tillman
MIN,Confirmed Lineup,D. Russell,A. Edwards,J. McDaniels,Kyle Anderson, Rudy Gobert
HOU,Confirmed Lineup,Kevin Porter,Jalen Green,Eric Gordon,Jabari Smith, A. Sengun
DAL,Confirmed Lineup,S. Dinwiddie,Tim Hardaway,R. Bullock,C. Wood, Dwight Powell
OKC,Confirmed Lineup,S. Gilgeous-Alexander,Josh Giddey,Luguentz Dort,J. Williams, J. Williams
CLE,Expected Lineup,D. Garland GTD,D. Mitchell,Isaac Okoro,Evan Mobley, Jarrett Allen
PHX,Expected Lineup,D. Washington,Landry Shamet,Mikal Bridges,Torrey Craig, Deandre Ayton
ATL,Expected Lineup,Trae Young,D. Murray,D. Hunter,John Collins, O. Okongwu
LAC,Expected Lineup,R. Jackson,P. George GTD,Kawhi Leonard,Marcus Morris, Ivica Zubac
D,Expected Lineup,,,,,
,Expected Lineup,,,,,
F,Expected Lineup,,,,,
,Expected Lineup,,,,,
