Away_Team,Home_Team,Away_PG,Away_SG,Away_SF,Away_PF,Away_C,Home_PG,Home_SG,Home_SF,Home_PF,Home_C,Away_Status,Home_Status
ORL,CHA,M. Fultz  ,Gary Harris  ,Franz Wagner  ,P. Banchero  , W. Carter ,Terry Rozier  ,Kelly Oubre  ,G. Hayward  ,JT Thor  , Mark Williams ,Expected Lineup             ,Expected Lineup             
POR,ATL,D. Lillard  ,Cam Reddish  ,M. Thybulle  ,Jerami Grant  , Drew Eubanks ,Trae Young GTD  ,D. Murray  ,D. Hunter  ,John Collins  , Clint Capela ,Expected Lineup             ,Expected Lineup             
BKN,BOS,S. Dinwiddie  ,Mikal Bridges  ,C. Johnson  ,D. Finney-Smith  , Nic Claxton ,Marcus Smart  ,Jaylen Brown  ,Jayson Tatum  ,Al Horford  , R. Williams ,Expected Lineup             ,Expected Lineup             
PHX,CHI,Chris Paul  ,Devin Booker  ,Josh Okogie  ,Kevin Durant  , Deandre Ayton ,P. Beverley  ,Alex Caruso  ,Zach LaVine  ,DeMar DeRozan  , N. Vucevic ,Expected Lineup             ,Expected Lineup             
NYK,MIA,Jalen Brunson  ,Q. Grimes  ,RJ Barrett  ,Julius Randle  , M. Robinson ,Gabe Vincent  ,Tyler Herro  ,J. Butler GTD  ,Kevin Love  , Bam Adebayo ,Expected Lineup             ,Expected Lineup             
UTA,OKC,T. Horton-Tucker  ,Ochai Agbaji  ,L. Markkanen  ,Kelly Olynyk  , W. Kessler ,Josh Giddey  ,Luguentz Dort  ,J. Williams  ,J. Robinson-Earl  , J. Williams ,Expected Lineup             ,Expected Lineup             
MEM,DEN,Ja Morant  ,Desmond Bane  ,Dillon Brooks  ,Jaren Jackson  , X. Tillman ,Jamal Murray  ,K. Caldwell-Pope  ,M. Porter GTD  ,A. Gordon GTD  , Nikola Jokic ,Expected Lineup             ,Expected Lineup             
NOP,GSW,CJ McCollum  ,Trey Murphy  ,B. Ingram  ,Herbert Jones  , W. Hernangomez ,Jordan Poole  ,Klay Thompson  ,D. DiVincenzo  ,D. Green  , Kevon Looney ,Expected Lineup             ,Expected Lineup             
LAC,SAC,R. Westbrook  ,Eric Gordon  ,Paul George  ,M. Morris GTD  , I. Zubac GTD ,D. Fox GTD  ,Kevin Huerter  ,H. Barnes  ,Keegan Murray  , D. Sabonis ,Expected Lineup             ,Expected Lineup             
MIN,LAL,Mike Conley  ,A. Edwards  ,J. McDaniels  ,Kyle Anderson  , Rudy Gobert ,D. Schroder GTD  ,Malik Beasley  ,Troy Brown  ,J. Vanderbilt  , A. Davis GTD ,Expected Lineup             ,Expected Lineup             
